ts_code,trade_date,adj_factor
000001.SZ,20250617,131.7878
000002.SZ,20250617,181.704
000004.SZ,20250617,4.064
000006.SZ,20250617,39.74
000007.SZ,20250617,8.284
000008.SZ,20250617,22.408
000009.SZ,20250617,8.977
000010.SZ,20250617,10.775
000011.SZ,20250617,4.411
000012.SZ,20250617,29.9276
000014.SZ,20250617,6.776
000016.SZ,20250617,22.375
000017.SZ,20250617,2.683
000019.SZ,20250617,4.8613
000020.SZ,20250617,1.752
000021.SZ,20250617,14.74
000025.SZ,20250617,2.7682
000026.SZ,20250617,8.9877
000027.SZ,20250617,18.4563
000028.SZ,20250617,5.602
000029.SZ,20250617,2.291
000030.SZ,20250617,4.128
000031.SZ,20250617,14.651
000032.SZ,20250617,4.2557
000034.SZ,20250617,3.2375
000035.SZ,20250617,4.7135
000036.SZ,20250617,12.84
000037.SZ,20250617,5.668
000039.SZ,20250617,50.9116
000042.SZ,20250617,13.498
000045.SZ,20250617,3.0142
000048.SZ,20250617,9.9803
000049.SZ,20250617,9.403
000050.SZ,20250617,8.477
000055.SZ,20250617,10.3246
000056.SZ,20250617,4.708
000058.SZ,20250617,3.311
000059.SZ,20250617,1.822
000060.SZ,20250617,40.6661
000061.SZ,20250617,22.8076
000062.SZ,20250617,8.0694
000063.SZ,20250617,17.1055
000065.SZ,20250617,17.613
000066.SZ,20250617,11.008
000068.SZ,20250617,2.28
000069.SZ,20250617,45.255
000070.SZ,20250617,3.484
000078.SZ,20250617,20.484
000088.SZ,20250617,8.7022
000089.SZ,20250617,7.2306
000090.SZ,20250617,9.5669
000096.SZ,20250617,2.8748
000099.SZ,20250617,3.9447
000100.SZ,20250617,3.725
000151.SZ,20250617,2.759
000153.SZ,20250617,8.3904
000155.SZ,20250617,1.5913
000156.SZ,20250617,1.2092
000157.SZ,20250617,87.3926
000158.SZ,20250617,2.952
000159.SZ,20250617,3.215
000166.SZ,20250617,1.5539
000301.SZ,20250617,2.379
000333.SZ,20250617,5.6054
000338.SZ,20250617,22.3691
000400.SZ,20250617,7.9717
000401.SZ,20250617,4.587
000402.SZ,20250617,39.142
000403.SZ,20250617,10.2326
000404.SZ,20250617,3.802
000407.SZ,20250617,11.4127
000408.SZ,20250617,6.7156
000409.SZ,20250617,2.15
000410.SZ,20250617,2.889
000411.SZ,20250617,3.3951
000415.SZ,20250617,20.919
000417.SZ,20250617,18.6705
000419.SZ,20250617,16.3253
000420.SZ,20250617,6.352
000421.SZ,20250617,7.5317
000422.SZ,20250617,15.5448
000423.SZ,20250617,11.467
000425.SZ,20250617,43.0311
000426.SZ,20250617,17.0464
000428.SZ,20250617,12.139
000429.SZ,20250617,4.6974
000430.SZ,20250617,4.612
000488.SZ,20250617,9.767
000498.SZ,20250617,3.087
000501.SZ,20250617,7.2135
000503.SZ,20250617,7.615
000504.SZ,20250617,2.103
000505.SZ,20250617,3.3622
000506.SZ,20250617,2.872
000507.SZ,20250617,4.776
000509.SZ,20250617,9.7463
000510.SZ,20250617,10.422
000513.SZ,20250617,9.9864
000514.SZ,20250617,4.4343
000516.SZ,20250617,39.873
000517.SZ,20250617,17.9586
000518.SZ,20250617,8.377
000519.SZ,20250617,7.9996
000520.SZ,20250617,6.855
000521.SZ,20250617,5.8682
000523.SZ,20250617,6.687
000524.SZ,20250617,4.927
000525.SZ,20250617,8.3784
000526.SZ,20250617,2.471
000528.SZ,20250617,12.819
000529.SZ,20250617,3.4693
000530.SZ,20250617,10.0004
000531.SZ,20250617,16.08
000532.SZ,20250617,4.5296
000533.SZ,20250617,2.258
000534.SZ,20250617,4.2706
000536.SZ,20250617,3.673
000537.SZ,20250617,6.75
000538.SZ,20250617,29.9066
000539.SZ,20250617,18.82
000541.SZ,20250617,32.3593
000543.SZ,20250617,4.88
000544.SZ,20250617,4.1036
000545.SZ,20250617,4.56
000546.SZ,20250617,1.847
000547.SZ,20250617,10.683
000548.SZ,20250617,3.6953
000550.SZ,20250617,3.8221
000551.SZ,20250617,7.9326
000552.SZ,20250617,7.91
000553.SZ,20250617,4.214
000554.SZ,20250617,4.9559
000555.SZ,20250617,3.179
000557.SZ,20250617,7.328
000558.SZ,20250617,5.957
000559.SZ,20250617,40.6859
000560.SZ,20250617,5.302
000561.SZ,20250617,2.5231
000563.SZ,20250617,18.7367
000564.SZ,20250617,7.182
000565.SZ,20250617,7.657
000566.SZ,20250617,9.514
000567.SZ,20250617,16.033
000568.SZ,20250617,36.2768
000570.SZ,20250617,4.5871
000571.SZ,20250617,7.613
000572.SZ,20250617,4.656
000573.SZ,20250617,8.5597
