ts_code,trade_date,adj_factor
000001.SZ,20250414,127.7841
000002.SZ,20250414,181.704
000004.SZ,20250414,4.064
000006.SZ,20250414,39.74
000007.SZ,20250414,8.284
000008.SZ,20250414,22.408
000009.SZ,20250414,8.977
000010.SZ,20250414,10.775
000011.SZ,20250414,4.411
000012.SZ,20250414,29.9276
000014.SZ,20250414,6.776
000016.SZ,20250414,22.375
000017.SZ,20250414,2.683
000019.SZ,20250414,4.755
000020.SZ,20250414,1.752
000021.SZ,20250414,14.5798
000025.SZ,20250414,2.753
000026.SZ,20250414,8.734
000027.SZ,20250414,18.033
000028.SZ,20250414,5.602
000029.SZ,20250414,2.291
000030.SZ,20250414,4.128
000031.SZ,20250414,14.651
000032.SZ,20250414,4.23
000034.SZ,20250414,3.217
000035.SZ,20250414,4.7135
000036.SZ,20250414,12.84
000037.SZ,20250414,5.668
000039.SZ,20250414,50.9116
000042.SZ,20250414,13.498
000045.SZ,20250414,2.995
000048.SZ,20250414,9.7612
000049.SZ,20250414,9.259
000050.SZ,20250414,8.477
000055.SZ,20250414,10.199
000056.SZ,20250414,4.708
000058.SZ,20250414,3.307
000059.SZ,20250414,1.822
000060.SZ,20250414,40.6661
000061.SZ,20250414,22.57
000062.SZ,20250414,8.0191
000063.SZ,20250414,16.7756
000065.SZ,20250414,17.613
000066.SZ,20250414,11.008
000068.SZ,20250414,2.28
000069.SZ,20250414,45.255
000070.SZ,20250414,3.484
000078.SZ,20250414,20.484
000088.SZ,20250414,8.461
000089.SZ,20250414,7.2306
000090.SZ,20250414,9.5669
000096.SZ,20250414,2.8748
000099.SZ,20250414,3.924
000100.SZ,20250414,3.725
000151.SZ,20250414,2.759
000153.SZ,20250414,8.254
000155.SZ,20250414,1.5913
000156.SZ,20250414,1.2092
000157.SZ,20250414,87.3926
000158.SZ,20250414,2.952
000159.SZ,20250414,3.215
000166.SZ,20250414,1.5539
000301.SZ,20250414,2.379
000333.SZ,20250414,5.347
000338.SZ,20250414,22.3691
000400.SZ,20250414,7.9717
000401.SZ,20250414,4.587
000402.SZ,20250414,39.142
000403.SZ,20250414,7.747
000404.SZ,20250414,3.802
000407.SZ,20250414,11.4127
000408.SZ,20250414,6.7156
000409.SZ,20250414,2.15
000410.SZ,20250414,2.889
000411.SZ,20250414,3.279
000415.SZ,20250414,20.919
000417.SZ,20250414,18.6705
000419.SZ,20250414,16.3253
000420.SZ,20250414,6.352
000421.SZ,20250414,7.4581
000422.SZ,20250414,15.29
000423.SZ,20250414,11.2037
000425.SZ,20250414,43.0311
000426.SZ,20250414,17.0464
000428.SZ,20250414,12.139
000429.SZ,20250414,4.6974
000430.SZ,20250414,4.612
000488.SZ,20250414,9.767
000498.SZ,20250414,3.087
000501.SZ,20250414,7.0527
000503.SZ,20250414,7.615
000504.SZ,20250414,2.103
000505.SZ,20250414,3.352
000506.SZ,20250414,2.872
000507.SZ,20250414,4.776
000509.SZ,20250414,9.7463
000510.SZ,20250414,10.422
000513.SZ,20250414,9.7106
000514.SZ,20250414,4.4343
000516.SZ,20250414,39.873
000517.SZ,20250414,17.9586
000518.SZ,20250414,8.377
000519.SZ,20250414,7.9996
000520.SZ,20250414,6.855
000521.SZ,20250414,5.617
000523.SZ,20250414,6.687
000524.SZ,20250414,4.927
000525.SZ,20250414,8.3784
000526.SZ,20250414,2.471
000528.SZ,20250414,12.819
000529.SZ,20250414,3.4693
000530.SZ,20250414,10.0004
000531.SZ,20250414,16.08
000532.SZ,20250414,4.512
000533.SZ,20250414,2.258
000534.SZ,20250414,4.2706
000536.SZ,20250414,3.673
