secucode,code,name,industry,market,listing_date
300061.SZ,300061,旗天科技,互联网,创业板,2010-03-19
002416.SZ,002416,爱施德,电器连锁,主板,2010-05-28
002415.SZ,002415,海康威视,IT设备,主板,2010-05-28
002414.SZ,002414,高德红外,电器仪表,主板,2010-07-16
002413.SZ,002413,雷科防务,通信设备,主板,2010-05-28
300098.SZ,300098,高新兴,软件服务,创业板,2010-07-28
300062.SZ,300062,中能电气,电气设备,创业板,2010-03-19
300087.SZ,300087,荃银高科,种植业,创业板,2010-05-26
300066.SZ,300066,三川智慧,电器仪表,创业板,2010-03-26
002425.SZ,002425,凯撒文化,互联网,主板,2010-06-08
300063.SZ,300063,天龙集团,互联网,创业板,2010-03-26
300065.SZ,300065,海兰信,船舶,创业板,2010-03-26
300068.SZ,300068,ST南都,电气设备,创业板,2010-04-21
002418.SZ,002418,康盛股份,家用电器,主板,2010-06-01
002420.SZ,002420,毅昌科技,家用电器,主板,2010-06-01
601369.SH,601369,陕鼓动力,机械基件,主板,2010-04-28
002422.SZ,002422,科伦药业,化学制药,主板,2010-06-03
002423.SZ,002423,中粮资本,多元金融,主板,2010-06-03
002428.SZ,002428,云南锗业,小金属,主板,2010-06-08
002442.SZ,002442,龙星科技,化工原料,主板,2010-07-06
002424.SZ,002424,ST百灵,中成药,主板,2010-06-03
002426.SZ,002426,胜利精密,元器件,主板,2010-06-08
002427.SZ,002427,尤夫股份,化纤,主板,2010-06-08
002431.SZ,002431,ST棕榈,建筑工程,主板,2010-06-10
002456.SZ,002456,欧菲光,元器件,主板,2010-08-03
601188.SH,601188,龙江交通,路桥,主板,2010-03-19
601518.SH,601518,吉林高速,路桥,主板,2010-03-19
002644.SZ,002644,佛慈制药,中成药,主板,2011-12-22
002430.SZ,002430,杭氧股份,化工机械,主板,2010-06-10
002459.SZ,002459,晶澳科技,电气设备,主板,2010-08-10
300073.SZ,300073,当升科技,电气设备,创业板,2010-04-27
300070.SZ,300070,碧水源,环境保护,创业板,2010-04-21
002432.SZ,002432,九安医疗,医疗保健,主板,2010-06-10
002429.SZ,002429,兆驰股份,家用电器,主板,2010-06-10
002434.SZ,002434,万里扬,汽车配件,主板,2010-06-18
002436.SZ,002436,兴森科技,元器件,主板,2010-06-18
300076.SZ,300076,*ST宁视,IT设备,创业板,2010-04-30
300072.SZ,300072,海新能科,化工原料,创业板,2010-04-27
300105.SZ,300105,龙源技术,环境保护,创业板,2010-08-20
300069.SZ,300069,金利华电,电气设备,创业板,2010-04-21
300067.SZ,300067,安诺其,染料涂料,创业板,2010-04-21
002440.SZ,002440,闰土股份,染料涂料,主板,2010-07-06
002437.SZ,002437,誉衡药业,化学制药,主板,2010-06-23
002443.SZ,002443,金洲管道,钢加工,主板,2010-07-06
002622.SZ,002622,皓宸医疗,医疗保健,主板,2011-10-18
300080.SZ,300080,易成新能,电气设备,创业板,2010-06-25
300075.SZ,300075,数字政通,软件服务,创业板,2010-04-27
002613.SZ,002613,北玻股份,专用机械,主板,2011-08-30
300078.SZ,300078,思创智联,软件服务,创业板,2010-04-30
300074.SZ,300074,华平股份,软件服务,创业板,2010-04-27
300079.SZ,300079,数码视讯,IT设备,创业板,2010-04-30
300083.SZ,300083,创世纪,机床制造,创业板,2010-05-20
002439.SZ,002439,启明星辰,软件服务,主板,2010-06-23
603002.SH,603002,宏昌电子,化工原料,主板,2012-05-18
601012.SH,601012,隆基绿能,电气设备,主板,2012-04-11
300077.SZ,300077,国民技术,半导体,创业板,2010-04-30
300082.SZ,300082,奥克股份,化工原料,创业板,2010-05-20
002469.SZ,002469,三维化学,化工原料,主板,2010-09-08
002441.SZ,002441,众业达,电气设备,主板,2010-07-06
