strategy,code,ts_code,name,industry,rank,entry_date,entry_price,shares,buy_amount,exit_date,exit_price,sell_amount,exit_reason,hold_days,ma5,pct_chg,ret_pct,win
short,300073,300073.SZ,当升科技,电气设备,6,20260429,64.97,1500,97455.0,20260507,63.58,95370.0,ma5_stop,3,63.788,-2.4098,-2.1394,0
short,600539,600539.SH,狮头股份,批发和零售业-零售业,1,20260507,20.59,4800,98832.0,20260511,19.23,92304.0,retracement_5pct,2,19.3,-5.7353,-6.6051,0
short,000060,000060.SZ,中金岭南,制造业-有色金属冶炼和压延加工业,2,20260507,8.08,12300,99384.0,20260512,7.76,95448.0,retracement_5pct,3,7.944,-8.7059,-3.9604,0
short,301261,301261.SZ,恒工精密,制造业-通用设备制造业,1,20260428,89.76,400,35904.0,20260513,94.09,37636.0,ma5_stop,8,94.286,-0.5076,4.824,1
short,000737,000737.SZ,北方铜业,制造业-有色金属冶炼和压延加工业,1,20260512,15.35,6500,99775.0,20260514,15.36,99840.0,ma5_stop,2,15.378,-3.6386,0.0651,1
short,605111,605111.SH,新洁能,制造业-计算机、通信和其他电子设备制造业,1,20260511,47.08,2100,98868.0,20260515,47.99,100779.0,ma5_stop,4,48.79,-3.4406,1.9329,1
short,301172,301172.SZ,君逸数码,软件服务,32,20260513,36.72,2500,91800.0,20260515,35.2,88000.0,ma5_stop,2,35.864,-1.7583,-4.1394,0
short,000950,000950.SZ,重药控股,医药商业,11,20260514,6.75,14800,99900.0,20260518,6.44,95312.0,ma5_stop,2,6.68,-3.5928,-4.5926,0
short,300504,300504.SZ,天邑股份,通信设备,24,20260515,18.89,5200,98228.0,20260518,18.88,98176.0,ma5_stop,1,19.008,-0.0529,-0.0529,0
short,301555,301555.SZ,惠柏新材,化工原料,40,20260518,41.8,2300,96140.0,20260521,39.42,90666.0,retracement_5pct,3,41.106,-6.5877,-5.6938,0
short,002068,002068.SZ,黑猫股份,化工原料,46,20260518,10.34,9400,97196.0,20260521,10.03,94282.0,ma5_stop,3,10.246,-4.0191,-2.9981,0
