rank,code,name,industry,score_100,score_raw,leadership_score,trend_score,cluster_score,stability_score,liquidity_score,sector_rank_20,sector_rank_60,ret_20,ret_60,ma_bull_20_60,ma_alignment_20,trend_slope_60,trend_slope_20,trend_eff_20,trend_eff_60,amount_ratio_5_20,amount_ratio_20_60,money_flow_bias_20,money_flow_bias_60,pv_sync_20,vol_20,vol_60,max_drawdown_20,max_drawdown_60,chip_tightness,win_rate_20,win_rate_60,avg_amount_20,close,trade_date
556,002709,天赐材料,化工原料,23.02357836338419,-0.3955190600371182,-0.006790610343889742,-0.18770136194276418,-1.0028920439010374,-0.4791676273650045,4.098568019958325,84.90566037735849,92.45283018867924,0.11356447608662412,0.3381283217897444,0.15964674934421863,0.022872695042560977,0.006402316916082343,0.007617026752715498,0.15480322741660105,0.19266632765877315,0.7925587255878226,1.4694002707312246,-0.016839859688595034,0.09013847128395332,0.382420889336544,0.04370258369914973,0.03623219261693843,-0.14937500000000004,-0.1522853043656487,-0.05537536957092709,0.45,0.5,6498508819.061252,58.0,20260520
557,300445,康斯特,电器仪表,22.88488210818308,-0.39711862156828226,-1.2101878300515263,-0.6354860867455348,-0.025134302875293155,0.655464124261913,-0.876565487046386,76.47058823529412,75.0,0.14784205693296593,0.06700810926163037,0.06366850777657107,0.06188675965758481,0.0016960511776588072,0.009514073281234603,0.3424097844654492,0.05778327928306342,1.2200782706715687,1.3150449820938055,0.4599137675106162,0.1479128430420049,0.7125515370085608,0.02659719214270766,0.025869535596067052,-0.0423111919927206,-0.2112068965517241,-0.02783930704424238,0.65,0.5166666666666667,129100668.2,25.0,20260520
558,300161,华中数控,机床制造,22.74618585298197,-0.40096610724010207,-0.8272335439588673,-0.6018558765157197,0.26145545878913556,-0.33847969810397927,-0.5929835636523495,76.47058823529412,76.47058823529412,0.31892645521087504,0.16826180920037048,0.08418950381271739,0.12979697981618857,0.002194221513010311,0.020407115782896765,0.4173318719763218,0.10822665489985459,1.2806097136884615,1.8498976847593864,0.3238003672127251,0.1622959261323774,0.6616541878197889,0.0549764971247458,0.038522316147732584,-0.08676684440135718,-0.1879336349924584,-0.05685453535186091,0.55,0.5,385309768.25,37.21,20260520
559,300404,博济医药,医疗保健,22.607489597780862,-0.40346123296859315,-1.184848853955869,-0.835755813405218,0.02151148891090881,0.7777725217087238,-0.4493923015906228,77.87610619469027,78.76106194690266,0.048086359175662396,0.005649717514124353,0.03521229749272825,0.010133735166698266,0.0011567590355652994,0.002906116298468915,0.17261049142473797,0.005388640682850044,0.8064198036570118,1.2576887891206152,0.1384771090992013,0.0870008851711765,0.7881596029275799,0.018725135254753673,0.02247922781842852,-0.0439856373429085,-0.1607476635514018,-0.024037939764881097,0.5,0.5,136404850.8,10.68,20260520
560,002695,煌上煌,食品,22.46879334257975,-0.40465394345976463,-1.1598010524511577,-0.5116118747835567,-0.09172394200314896,0.4706016323612955,-0.57600793681102,81.17647058823529,80.0,0.07149161518093572,0.05017301038062283,0.09760000000000013,0.02617427923550393,0.0035848476428637552,0.006511663025396308,0.2127754964563277,0.054061944178106676,0.7993944682050287,1.476949222518845,0.28483490972349057,0.1627914987549492,0.48429967637838933,0.02147242953104288,0.020324247266467636,-0.07890743550834589,-0.13784021071115016,-0.024785023410624732,0.6,0.5,110688952.35,12.14,20260520
561,601456,国联民生,证券,22.330097087378643,-0.4067221030923929,-0.9217892740533068,-0.7282105928244147,-0.08296870553868495,0.36304751857187045,-0.7588902170661137,76.0,82.0,0.013544478514627414,-0.029640705734489407,0.010807927808585817,-0.0070555878775057975,-0.0003229629796751202,0.0003475659052958299,0.04546968937139966,-0.031053842544842437,0.7963056512526409,1.0719959136206785,0.15052949095482426,0.049729437276715034,0.4317920819623131,0.009805919204511099,0.010459840603379476,-0.0444674250258531,-0.08934010152284255,-0.015611407612443538,0.45,0.43333333333333335,241956312.5,9.24,20260520
562,002176,江特电机,小金属,22.191400832177532,-0.4084625332915566,-0.5631840010855058,-0.48745716015918206,-0.3891367267570109,-0.10179430618428288,0.14021122160161298,85.45454545454545,89.0909090909091,0.13386524822695045,0.39476553980370777,0.2250323301199153,6.477849353996555e-05,0.008497638298173972,0.008119229227926388,0.20710669353433814,0.2423302161051491,0.6180366743896204,1.8098044479571245,-0.09483349086640691,0.0637902562533528,0.6469286816929622,0.04218782082149997,0.036355801494689,-0.20509633312616538,-0.20509633312616538,-0.057142114657227086,0.4,0.48333333333333334,2911899268.15,13.08,20260520
563,600367,红星发展,化工原料,22.052704576976424,-0.4085695612066346,-0.48570344600826826,-0.7075053956913508,-0.02675199734974896,-0.396470895719396,-0.09334302227376098,79.71698113207547,86.79245283018868,0.17951127819548862,0.3465665236051503,0.03176027538321202,0.058043543350870586,0.0010106811684354882,0.007767397449095585,0.3089492335911777,0.16838820462923826,1.0693822359973302,0.9428116243365584,0.4209376650427122,0.16387942414597081,0.7018644685996379,0.03622392181499884,0.042780082050413004,-0.08969383354894356,-0.31424581005586594,-0.0410489292134083,0.65,0.5333333333333333,894851879.7,24.37,20260520
564,002674,兴业科技,纺织,21.914008321775313,-0.40963353493569277,-1.1926353959106284,-1.1194725145189337,0.11556822825867077,0.9956657770128075,-0.9433653608125842,80.0,75.0,0.06067251461988299,-0.006844626967830281,0.014817465115418038,0.009176453424757458,-0.0004243464651868535,1.864753794908072e-05,0.19994473200076415,-0.0066859913567984645,1.486758802520457,1.0618982885850239,0.28021159075472096,0.11466381985666702,0.2681502220041652,0.01990386002032129,0.02166898566810444,-0.0618776671408251,-0.1823166552433173,-0.02397818162631619,0.6,0.5333333333333333,79855730.42250001,14.51,20260520
565,000553,安道麦A,农药化肥,21.7753120665742,-0.41005299835437714,0.3764447837269501,-0.7700955532650466,-1.115484506185667,-0.25795709304891845,-0.610115109107221,94.54545454545455,94.54545454545455,0.08051529790660217,0.0910569105691057,0.05103459127743859,0.03157421962721729,0.0022532549986038677,0.007801898638354219,0.1988975674784476,0.06286199185464972,0.8994913986285094,1.1137055716912851,-0.11753633414741325,-0.07023224881148887,0.6909909647954228,0.03448796770738056,0.03520731752796574,-0.1093333333333334,-0.18088235294117638,-0.03466900956645268,0.4,0.43333333333333335,130214100.3,6.71,20260520
