trade_date,open,high,low,close,vol,amount,turnover
2025-02-13,7.36,7.66,7.22,7.24,119989.63,89700542.0,12.4595
2025-02-14,7.18,7.32,7.02,7.1,88495.15,63364285.0,9.1892
2025-02-17,7.1,7.45,7.03,7.39,96256.35,70179978.0,9.9951
2025-02-18,7.39,7.39,7.02,7.12,67113.77,48206879.0,6.969
2025-02-19,7.06,7.3,7.06,7.25,72150.2,51935223.0,7.4919
2025-02-20,7.3,7.59,7.25,7.45,105054.33,77864380.0,10.9086
2025-02-21,7.36,7.51,7.23,7.49,87786.52,64925727.0,9.1156
2025-02-24,7.8,8.0,7.51,7.51,136104.49,105206341.0,14.1328
2025-02-25,7.37,8.08,7.28,8.05,224685.55,175434942.0,23.3309
2025-02-26,7.95,8.17,7.72,7.97,168452.69,133773905.99999999,17.4918
2025-02-27,7.94,9.4,7.94,8.71,338407.11,294339402.0,34.8878
2025-02-28,8.5,9.0,8.01,8.14,235774.0,201838416.0,24.3069
2025-03-03,7.91,8.28,7.71,8.07,182924.49,146829974.0,18.8584
2025-03-04,8.08,8.56,7.85,8.56,182260.48,150326293.0,18.79
2025-03-05,8.53,8.88,8.4,8.72,197009.69,169295776.0,20.3105
2025-03-06,8.57,8.62,8.18,8.32,164329.86,137450492.0,16.9414
2025-03-07,8.33,8.69,8.25,8.49,153445.39,129545827.0,15.8193
2025-03-10,8.39,8.58,8.22,8.43,114986.16,96655180.0,11.8544
2025-03-11,8.3,8.47,8.09,8.36,117183.92,97134800.0,12.081
2025-03-12,8.39,8.54,8.29,8.38,104650.58,87873286.0,10.7889
2025-03-13,8.35,8.53,8.08,8.25,94602.89,78340017.0,9.753
2025-03-14,9.46,10.72,9.45,10.72,371454.09,386303458.0,38.2947
2025-03-17,13.93,13.93,12.03,12.08,688573.7,925847730.0,70.9879
2025-03-18,11.89,12.39,10.97,11.66,506364.31,585189814.0,52.2032
2025-03-19,10.85,11.38,9.99,10.15,395819.09,424038073.0,40.8066
2025-03-20,10.04,10.98,9.77,9.82,345822.41,360190014.0,35.6523
2025-03-21,9.52,9.82,9.27,9.31,238462.0,226067883.0,24.584
2025-03-24,9.06,9.9,9.06,9.89,259910.7,247894233.0,26.7953
2025-03-25,9.68,11.2,9.4,10.43,423535.57,440882836.0,43.664
2025-03-26,10.0,10.88,9.86,10.13,320228.08,328433907.0,33.0136
2025-03-27,10.05,10.68,9.96,10.08,258586.64,266343076.0,26.6588
2025-03-28,9.72,10.06,9.08,9.24,231561.43,221765645.0,23.8726
2025-03-31,9.09,9.09,8.37,8.54,168466.36,145849593.0,17.3679
2025-04-01,8.61,8.76,8.5,8.59,124229.82,107202858.0,12.8074
2025-04-02,8.59,9.05,8.4,8.78,156287.21,136648383.0,16.1123
2025-04-03,8.65,9.28,8.6,9.19,199976.8,181589589.0,20.6164
2025-04-07,9.0,10.6,8.89,9.6,407563.93,395768977.0,42.0175
2025-04-08,9.75,12.15,9.21,11.8,539103.59,585882384.0,55.5784
2025-04-09,11.0,12.67,10.63,11.51,533566.65,617288086.0,55.0076
2025-04-10,10.9,14.96,10.65,14.96,659215.15,859363549.0,67.9612
2025-04-11,14.21,14.8,12.5,13.25,629856.79,865201080.0,64.9346
2025-04-14,12.3,13.66,12.25,12.77,452695.13,590085480.0,46.6702
2025-04-15,12.6,14.46,12.4,13.13,511397.17,684367794.0,52.7221
2025-04-16,12.57,13.78,12.05,13.19,404823.7,522715238.0,41.1809
2025-04-17,12.6,13.75,12.6,12.9,396837.52,519314730.0,40.3685
2025-04-18,12.6,12.68,11.1,11.11,389793.17,460455385.0,39.6519
