trade_date,open,high,low,close,vol,amount,turnover
2024-08-05,22.55,23.0,21.42,21.42,1191379.93,2628285179.0,
2024-08-06,22.25,22.63,21.7,22.03,733434.84,1622565890.0,
2024-08-07,21.96,22.35,21.58,22.05,467489.32,1032146940.0,
2024-08-08,22.0,22.68,21.6,22.29,486094.51,1081981917.0,
2024-08-09,22.37,23.06,22.31,22.53,438994.49,995793407.0,
2024-08-12,22.61,22.92,22.23,22.35,296094.22,667769201.0,
2024-08-13,22.7,23.18,22.5,22.97,372862.56,850783878.0,
2024-08-14,22.7,22.8,22.1,22.45,454476.01,1022471386.0,
2024-08-15,22.3,22.65,22.08,22.14,332167.94,740963471.0,
2024-08-16,22.38,22.85,22.23,22.5,375156.64,847232176.0,
2024-08-19,22.41,22.88,22.1,22.24,297168.5,666403850.0,
2024-08-20,22.0,23.04,22.0,22.06,402873.67,901741897.0,
2024-08-21,22.1,23.59,21.89,22.89,799781.93,1831204118.0,
2024-08-22,22.72,22.89,21.68,22.56,618294.65,1376104509.0,
2024-08-23,22.35,22.65,21.88,22.21,340270.96,754369035.0,
2024-08-26,22.29,22.71,21.66,22.19,411906.03,912468142.0,
2024-08-27,22.12,22.19,21.22,21.39,472944.0,1018529196.0,
2024-08-28,21.18,21.63,20.85,21.06,391688.81,827399539.0,
2024-08-29,20.92,21.99,20.45,21.63,501111.17,1066137150.0,
2024-08-30,21.63,23.79,21.55,23.79,518211.5,1203030125.0,
2024-09-02,24.01,24.09,22.26,22.85,1066957.12,2446839122.0,
2024-09-03,22.65,23.2,22.16,22.54,536786.61,1212639530.0,
2024-09-04,22.01,22.3,21.4,21.97,516494.7,1125910807.0,
2024-09-05,22.09,22.5,21.7,21.89,370136.46,818566417.0,
2024-09-06,21.9,22.0,21.14,21.18,333568.92,718050959.0,
2024-09-09,20.95,21.4,20.71,20.98,306601.86,643576529.0,
2024-09-10,20.88,21.25,20.08,21.0,403379.8,834146304.0,
2024-09-11,20.89,20.94,20.4,20.47,264085.68,543872976.0,
2024-09-12,20.69,20.85,19.96,20.14,317326.75,642508603.0,
2024-09-13,20.16,20.82,20.08,20.23,322886.93,660565649.0,
2024-09-18,20.08,20.3,18.46,19.16,682574.73,1296972875.0,
2024-09-19,19.61,19.73,18.94,19.11,400394.97,768628570.0,
2024-09-20,19.4,19.77,19.15,19.23,347948.59,674730341.0,
2024-09-23,19.24,19.98,18.94,19.44,312670.12,612738923.0,
2024-09-24,19.51,20.9,19.27,20.79,564621.54,1143067584.0,
2024-09-25,20.97,21.65,20.38,20.39,529428.42,1116007225.0,
2024-09-26,20.41,20.55,19.45,20.19,706850.55,1410641236.0,
2024-09-27,20.25,22.06,20.21,21.44,822117.93,1739276672.0,
2024-09-30,22.0,23.58,21.5,23.54,1094447.77,2482672387.0,
2024-10-08,25.88,25.89,22.99,25.3,1558388.79,3822016620.0,
2024-10-09,24.15,24.4,22.77,22.96,1220269.15,2885775855.0,
2024-10-10,22.97,24.6,22.97,23.2,1129657.8,2699067358.0,
2024-10-11,23.0,23.19,21.56,21.8,689948.45,1525026286.0,
2024-10-14,21.8,23.75,21.76,23.54,745529.91,1709525016.0,
2024-10-15,23.31,24.37,23.01,23.5,743344.85,1769029797.0,
2024-10-16,23.0,23.41,22.31,22.74,521696.04,1187012372.0,
2024-10-17,22.85,23.48,22.52,22.69,556002.14,1282833967.0,
2024-10-18,22.69,24.96,22.6,24.51,1098915.33,2660183112.0,
2024-10-21,24.94,26.56,24.78,25.45,1063044.24,2728232049.0,
2024-10-22,25.21,26.94,24.55,25.93,960667.47,2471823671.0,
2024-10-23,25.25,26.06,25.03,25.28,569632.61,1452302645.0,
2024-10-24,24.87,26.0,24.54,25.73,777007.08,1962007525.0,
2024-10-25,26.06,26.98,25.09,25.27,972276.2,2532109060.0,
2024-10-28,25.35,26.88,25.35,26.1,967300.04,2531266097.0,
2024-10-29,26.3,28.7,26.13,28.09,1507921.59,4200951753.0,
2024-10-30,27.61,29.47,27.4,28.7,1222860.17,3505827085.0,
2024-10-31,28.73,31.57,27.77,31.48,1631852.46,4913341634.0,
2024-11-01,31.1,33.83,30.3,31.5,1980884.34,6331644862.0,
2024-11-04,31.31,33.12,30.16,31.99,1690540.66,5313728487.0,
2024-11-05,33.5,35.19,32.6,35.19,1695425.94,5832122575.0,
2024-11-06,36.45,37.38,33.45,34.35,2274879.82,8066377301.0,
2024-11-07,33.37,34.1,31.74,33.35,1761218.59,5799962530.0,
2024-11-08,33.5,34.68,30.24,30.65,2244620.95,7240410679.0,
2024-11-11,30.6,32.6,30.3,31.09,1803691.99,5640037595.0,
2024-11-12,31.15,31.71,29.32,29.7,1726699.96,5245218895.0,
2024-11-13,29.19,30.45,28.68,30.02,1255603.81,3712365662.0,
2024-11-14,29.71,32.0,29.71,30.64,1784801.26,5532830343.0,
2024-11-15,30.55,31.72,30.01,30.1,1462496.13,4528243671.0,
2024-11-18,29.01,29.46,27.09,27.26,1405926.78,3917737920.0,
2024-11-19,27.1,28.08,26.96,27.9,953981.06,2628320810.0,
2024-11-20,27.82,27.85,27.02,27.47,968494.33,2650386983.0,
2024-11-21,27.39,27.39,26.53,26.8,1122318.53,3008221421.0,
2024-11-22,26.86,27.25,25.5,25.5,1017603.05,2678955637.0,
2024-11-25,25.37,25.49,24.5,25.03,766800.3,1911888534.0,
2024-11-26,24.89,25.28,24.56,24.62,564805.71,1404624283.0,
2024-11-27,24.65,26.88,23.91,26.49,1491476.32,3827321347.0,
2024-11-28,26.27,26.3,25.4,25.48,903001.74,2322772621.0,
2024-11-29,25.67,26.3,25.2,25.64,1022284.73,2633099333.0,
2024-12-02,26.01,27.29,25.86,26.66,1228510.36,3290088859.0,
2024-12-03,26.68,27.05,26.28,26.74,1027479.24,2739644860.0,
2024-12-04,26.5,26.76,25.9,26.09,741951.58,1947471348.0,
2024-12-05,26.01,26.78,25.84,26.26,638385.6,1678250685.0,
2024-12-06,26.1,27.48,25.94,27.35,1208847.9,3263929752.0,
2024-12-09,27.42,27.5,26.45,26.91,865216.08,2331228437.0,
2024-12-10,27.8,29.28,27.2,28.4,1465735.94,4134592015.0,
2024-12-11,28.15,29.45,28.03,29.04,1031248.33,2969572702.0,
2024-12-12,29.0,29.39,28.21,28.88,702769.94,2019121272.0,
2024-12-13,28.4,28.73,27.6,27.68,774552.22,2171127951.0,
2024-12-16,27.77,28.06,26.85,27.04,599152.77,1635323790.0,
2024-12-17,27.03,28.45,26.96,27.52,783246.88,2182136134.0,
2024-12-18,27.62,28.08,27.28,27.56,544948.97,1505956614.0,
2024-12-19,27.01,29.92,26.93,29.42,1140321.17,3280176633.0,
2024-12-20,29.23,30.5,29.17,29.75,866092.86,2578018531.0,
2024-12-23,29.77,29.92,28.85,28.92,603488.21,1765473634.0,
2024-12-24,29.0,30.48,28.65,30.41,979337.11,2919663552.0,
2024-12-25,30.45,31.45,29.91,30.31,909658.83,2788446181.0,
2024-12-26,30.57,31.66,30.18,31.66,941399.91,2914629915.0,
2024-12-27,31.69,31.97,30.16,30.71,898630.44,2806298890.0,
2024-12-30,30.43,31.24,30.11,30.89,535371.06,1645109443.0,
2024-12-31,30.86,30.99,29.2,29.2,821302.3,2442819877.0,
2025-01-02,29.2,30.5,28.91,29.79,1024558.61,3054160199.0,
2025-01-03,29.56,30.4,27.95,28.29,916544.15,2662812581.0,
2025-01-06,28.62,29.42,28.1,29.08,737907.62,2126213106.0,
2025-01-07,29.22,31.44,29.18,31.17,1059816.48,3231886994.0,
2025-01-08,30.89,31.25,29.7,30.8,873306.77,2672975626.0,
2025-01-09,30.98,31.56,30.52,30.8,765793.54,2379291626.0,
2025-01-10,31.0,31.22,29.9,29.91,578011.37,1760092651.0,
2025-01-13,29.73,30.42,29.1,29.44,482953.73,1435486118.0,
2025-01-14,29.16,31.16,28.59,30.93,728107.56,2190192500.0,
2025-01-15,30.66,30.89,29.88,30.02,495452.93,1495685321.0,
2025-01-16,30.35,30.35,29.18,29.45,489677.04,1453031290.0,
2025-01-17,29.01,30.76,29.0,30.28,579627.07,1738168638.0,
2025-01-20,30.75,32.13,30.74,31.16,791008.79,2487220650.0,
2025-01-21,31.68,32.66,31.1,32.05,804587.12,2568133967.0,
2025-01-22,31.61,34.57,31.5,34.0,1199595.78,3987544670.0,
2025-01-23,34.59,34.8,33.49,33.67,861649.15,2931524618.0,
2025-01-24,33.61,34.87,33.47,34.8,693086.39,2369054563.0,
2025-01-27,35.3,35.8,33.25,33.5,614606.82,2087732011.0,
2025-02-05,32.98,33.29,30.16,30.35,1142933.85,3565778507.0,
2025-02-06,30.19,33.39,29.8,32.34,1255362.03,3986238234.0,
2025-02-07,32.48,32.99,31.28,31.97,934462.38,3014336993.0,
2025-02-10,31.82,33.2,31.55,33.0,783341.58,2557065471.0,
2025-02-11,32.88,33.8,32.11,33.38,716730.73,2354188813.0,
2025-02-12,33.33,34.94,33.15,34.34,645863.28,2213212994.0,
2025-02-13,34.0,34.56,32.35,32.61,608635.14,2013142884.0,
2025-02-14,32.5,33.1,31.51,31.89,598566.83,1925640456.0,
2025-02-17,31.51,32.92,31.51,32.8,543638.84,1764204483.0,
2025-02-18,32.66,33.08,31.81,32.0,419342.95,1358964854.0,
2025-02-19,31.9,32.35,31.61,32.21,410219.64,1313833717.0,
2025-02-20,31.9,33.27,31.7,33.04,602093.34,1969599221.0,
2025-02-21,33.08,33.6,32.6,33.06,626123.37,2069260733.0,
2025-02-24,33.08,35.2,31.92,34.31,1029094.36,3462051484.0,
2025-02-25,34.02,35.81,33.6,34.87,912103.87,3180867936.0,
2025-02-26,35.0,35.4,34.23,34.8,456351.53,1588688304.0,
2025-02-27,34.82,35.19,33.2,33.88,571144.78,1936085981.0,
2025-02-28,33.58,33.58,32.0,32.06,486372.46,1583410902.0,
2025-03-03,32.0,32.05,29.2,29.8,1105783.26,3345626577.0,
2025-03-04,29.08,30.3,28.51,30.11,478350.65,1417961689.0,
2025-03-05,30.12,31.0,30.1,30.98,392368.78,1206133246.0,
2025-03-06,30.98,31.44,29.6,30.1,831961.95,2539067905.0,
2025-03-07,29.88,30.74,29.5,29.82,531670.91,1598272079.0,
2025-03-10,29.52,30.4,29.07,30.29,505925.44,1505659908.0,
2025-03-11,30.13,32.34,30.13,31.99,895686.65,2831668582.0,
2025-03-12,31.95,32.49,31.55,32.03,518792.16,1658724347.0,
2025-03-13,32.02,33.28,31.62,31.9,546692.63,1761907278.0,
