trade_date,open,high,low,close,vol,amount,turnover
2024-10-08,23.0,23.01,20.51,21.51,679746.36,1481573466.0,
2024-10-09,21.1,21.11,19.67,19.72,428730.96,868353532.0,
2024-10-10,19.88,20.65,19.61,20.1,292584.65,590004473.0,
2024-10-11,20.1,20.19,19.28,19.51,201894.37,397218510.0,
2024-10-14,19.54,19.94,19.41,19.8,168599.19,332013054.0,
2024-10-15,19.7,19.82,19.19,19.2,168536.58,328283107.0,
2024-10-16,19.18,19.41,18.98,19.2,157123.92,301579808.0,
2024-10-17,19.25,19.38,18.78,18.79,144732.0,275706231.0,
2024-10-18,18.73,19.56,18.72,19.16,225502.96,430908843.0,
2024-10-21,19.31,19.71,19.13,19.41,244006.8,474203710.0,
2024-10-22,19.5,19.83,19.3,19.68,203035.62,397621836.0,
2024-10-23,19.7,19.98,19.5,19.85,213808.12,422979396.0,
2024-10-24,19.78,19.8,19.42,19.61,142628.77,279032940.0,
2024-10-25,19.57,20.5,19.52,20.1,311125.47,621248977.0,
2024-10-28,19.95,20.21,19.84,20.0,328194.25,655940040.0,
2024-10-29,20.05,20.08,19.5,19.56,264353.79,520786494.0,
2024-10-30,19.5,19.68,19.22,19.39,180324.63,350348636.0,
2024-10-31,19.43,19.86,19.24,19.44,236840.42,463317476.0,
2024-11-01,19.5,21.38,19.45,21.19,1270163.16,2668604056.0,
2024-11-04,21.4,21.41,20.17,20.42,946014.47,1935066074.0,
2024-11-05,20.18,21.37,20.13,21.08,775325.06,1613589279.0,
2024-11-06,21.16,21.93,20.96,21.52,867875.6,1860785915.0,
2024-11-07,21.41,22.2,21.2,21.78,663303.18,1440465460.0,
2024-11-08,21.86,22.5,21.65,21.7,723079.02,1593270509.0,
2024-11-11,21.65,22.97,21.56,22.9,691796.69,1548728047.0,
2024-11-12,22.8,23.48,21.97,22.25,648321.63,1471965775.0,
2024-11-13,22.08,22.67,21.85,22.13,397944.9,882020753.0,
2024-11-14,22.05,22.05,21.3,21.36,339750.57,733483039.0,
2024-11-15,21.19,21.41,20.78,20.83,228472.89,481210174.0,
2024-11-18,20.91,21.07,20.43,20.59,223077.61,462248051.0,
2024-11-19,20.66,21.23,20.57,21.13,207861.78,433814154.0,
2024-11-20,20.98,21.33,20.97,21.26,194436.32,412114766.0,
2024-11-21,21.45,22.06,21.32,21.58,319945.08,693503118.0,
2024-11-22,21.5,21.69,21.03,21.05,303169.56,646393745.0,
2024-11-25,21.08,21.5,20.41,20.76,260949.83,545498303.0,
2024-11-26,20.66,20.79,20.35,20.37,145081.1,297687703.0,
2024-11-27,20.3,20.49,19.84,20.49,185957.23,374977693.0,
2024-11-28,20.46,20.46,20.08,20.1,148094.0,299772301.0,
2024-11-29,20.1,21.13,20.01,20.75,355469.07,732055606.0,
2024-12-02,20.4,20.85,20.25,20.81,222245.5,459044646.0,
2024-12-03,20.85,20.92,20.51,20.67,158873.35,328866743.0,
2024-12-04,20.93,21.1,20.55,20.63,208007.4,432115672.0,
2024-12-05,20.58,20.58,20.23,20.43,136140.07,277462138.0,
2024-12-06,20.38,20.66,20.21,20.54,149566.72,305842453.0,
2024-12-09,21.0,21.48,20.75,20.85,296527.68,625998706.0,
2024-12-10,21.55,21.55,20.74,20.78,243826.79,514618186.0,
2024-12-11,20.69,21.2,20.67,21.1,174622.6,366391254.0,
2024-12-12,21.13,21.25,20.98,21.18,150991.21,319130210.0,
2024-12-13,20.95,20.99,20.51,20.54,210185.28,434682131.0,
2024-12-16,20.56,20.61,20.16,20.28,127703.07,259599146.0,
2024-12-17,20.2,20.42,20.16,20.21,103221.17,209326884.0,
2024-12-18,20.37,20.38,19.76,19.84,189757.75,380110089.0,
2024-12-19,19.48,19.96,19.43,19.84,141007.87,277773228.0,
2024-12-20,19.84,20.4,19.83,20.02,152048.63,306630337.0,
2024-12-23,20.08,20.27,19.83,19.86,95136.22,190543018.0,
2024-12-24,19.85,20.12,19.85,20.08,88268.17,176579335.0,
2024-12-25,20.1,20.1,19.71,19.8,80649.67,159933829.0,
2024-12-26,19.8,19.94,19.78,19.8,65596.4,130272386.0,
