trade_date,open,high,low,close,vol,amount,turnover
2025-02-13,8.62,8.83,8.54,8.68,64906.0,56453375.0,3.2805
2025-02-14,8.67,8.67,8.51,8.52,51179.01,43871053.0,2.5867
2025-02-17,8.6,8.67,8.42,8.58,50872.0,43633972.0,2.5712
2025-02-18,8.53,8.96,8.48,8.78,157835.0,138370248.0,7.9774
2025-02-19,8.82,8.9,8.61,8.79,95408.11,83305783.0,4.8222
2025-02-20,8.79,8.8,8.48,8.66,89430.0,77409619.0,4.5201
2025-02-21,8.63,8.69,8.51,8.57,65438.0,55978378.0,3.3074
2025-02-24,8.5,8.56,8.36,8.41,58669.01,49589430.0,2.9653
2025-02-25,8.32,8.6,8.24,8.27,71869.56,60422843.0,3.6325
2025-02-26,8.27,8.36,8.26,8.34,45579.2,37915250.0,2.3037
2025-02-27,8.32,8.49,8.22,8.36,53778.8,44892146.0,2.7181
2025-02-28,8.32,8.37,8.13,8.16,52000.56,42787983.0,2.6283
2025-03-03,8.11,8.29,8.11,8.19,41282.88,33901275.0,2.0866
2025-03-04,8.18,8.33,8.08,8.28,43357.0,35757249.0,2.1914
2025-03-05,8.26,8.33,8.2,8.31,34182.01,28241985.0,1.7277
2025-03-06,8.36,8.4,8.22,8.37,58921.0,48893815.0,2.978
2025-03-07,8.36,8.44,8.18,8.22,59892.0,49774354.0,3.0271
2025-03-10,8.21,8.35,8.18,8.24,36520.15,30117240.0,1.8458
2025-03-11,8.17,8.45,8.16,8.32,72111.0,60141011.0,3.6447
2025-03-12,8.0,8.0,7.49,7.67,323149.29,245884665.0,16.3329
2025-03-13,7.51,7.52,7.37,7.39,142768.44,105998182.0,7.2159
2025-03-14,7.39,7.48,7.36,7.47,100751.79,74913378.0,5.0923
2025-03-17,7.5,7.6,7.43,7.59,105506.55,79434787.0,5.3326
2025-03-18,7.59,7.61,7.53,7.57,64891.02,49085390.0,3.2798
2025-03-19,7.57,7.57,7.45,7.48,67881.0,50875393.0,3.4309
2025-03-20,7.48,7.55,7.46,7.48,42424.0,31805062.0,2.1442
2025-03-21,7.45,7.5,7.33,7.36,57423.5,42513747.0,2.9024
