trade_date,open,high,low,close,vol,amount,turnover
2025-02-13,4.81,4.84,4.71,4.83,54886.0,26212193.0,2.892
2025-02-14,4.86,4.88,4.7,4.73,65264.0,31142589.0,3.4388
2025-02-17,4.73,4.91,4.7,4.85,69628.38,33587205.0,3.6688
2025-02-18,4.91,4.94,4.72,4.74,61921.0,29942298.0,3.2627
2025-02-19,4.71,4.88,4.64,4.84,54379.38,26080009.0,2.8653
2025-02-20,4.85,4.88,4.78,4.81,41831.0,20173602.0,2.2041
2025-02-21,4.85,4.85,4.69,4.79,53325.0,25416308.0,2.8097
2025-02-24,4.81,4.84,4.65,4.82,54448.0,25953344.0,2.8689
2025-02-25,4.73,4.95,4.73,4.77,56828.02,27537742.0,2.9943
2025-02-26,4.83,4.88,4.78,4.83,48804.0,23571568.0,2.5715
2025-02-27,4.85,4.95,4.72,4.85,57132.0,27690652.0,3.0103
2025-02-28,4.84,4.84,4.67,4.68,53438.0,25327097.0,2.8157
2025-03-03,4.71,4.93,4.71,4.84,89001.0,43087702.0,4.6896
2025-03-04,4.79,4.94,4.76,4.83,52667.02,25561798.0,2.7751
2025-03-05,4.84,4.85,4.68,4.84,48268.01,22966602.0,2.5433
2025-03-06,4.84,5.27,4.78,5.05,150537.01,75814235.0,7.9319
2025-03-07,5.06,5.21,4.95,4.98,75449.48,38065268.0,3.9755
2025-03-10,4.99,5.1,4.94,5.08,80353.0,40511150.0,4.2339
2025-03-11,5.01,5.36,5.01,5.3,141458.0,74309587.0,7.4536
2025-03-12,5.37,5.43,5.26,5.31,116243.0,61947158.0,6.125
2025-03-13,5.29,5.32,5.19,5.3,69539.0,36491207.0,3.6641
2025-03-14,5.27,5.35,5.22,5.3,49306.0,25968662.0,2.598
2025-03-17,5.3,5.31,4.91,5.0,224323.01,113204870.0,11.8198
2025-03-18,4.99,5.07,4.94,5.03,110618.01,55230719.0,5.8286
2025-03-19,5.01,5.07,4.91,4.95,82116.0,40945177.0,4.3268
2025-03-20,4.94,5.05,4.87,5.02,74899.0,37270182.0,3.9465
2025-03-21,5.0,5.04,4.68,4.68,114709.0,55278069.0,6.0441
