trade_date,open,high,low,close,vol,amount,turnover
2024-09-30,7.5,7.83,7.2,7.83,2130856.23,1616541390.0,
2024-10-08,8.61,8.61,8.61,8.61,295967.95,254828405.0,
2024-10-09,9.4,9.47,8.68,9.0,3106388.45,2856519662.0,
2024-10-10,8.97,8.98,8.1,8.1,1908952.57,1591514517.0,
2024-10-11,7.78,8.34,7.65,8.21,1249303.42,994298490.0,
2024-10-14,8.22,8.88,7.76,8.8,1637769.66,1365772255.0,
2024-10-15,8.72,9.16,8.46,8.59,1942550.29,1722911213.0,
2024-10-16,8.25,8.74,8.19,8.49,1181744.26,999895416.0,
2024-10-17,8.58,9.29,8.51,8.97,2156683.52,1925136982.0,
2024-10-18,8.98,9.19,8.58,8.97,1965030.21,1744056496.0,
2024-10-21,9.01,9.87,9.0,9.87,2077970.63,1975233269.0,
2024-10-22,10.41,10.86,10.25,10.86,1011105.87,1079693138.0,
2024-10-23,11.95,11.95,11.95,11.95,128253.17,153262538.0,
2024-10-24,12.0,12.0,10.76,10.93,3723763.79,4138216870.0,
2024-10-25,10.56,11.47,10.22,10.96,2704790.69,2938828761.0,
2024-10-28,10.85,11.89,10.84,11.27,2339158.5,2658599403.0,
2024-10-29,11.04,12.4,10.76,11.9,3130930.14,3670253979.0,
2024-10-30,11.5,12.03,11.33,11.64,2235697.75,2594110159.0,
2024-10-31,11.5,12.24,11.45,11.7,2285974.07,2695481120.0,
2024-11-01,11.35,11.4,10.53,10.53,1500867.32,1620895885.0,
2024-11-04,9.6,10.22,9.6,10.08,1300103.25,1292127675.0,
2024-11-05,10.11,10.48,9.99,10.31,1164150.82,1188892078.0,
2024-11-06,10.33,10.91,10.2,10.69,1609217.08,1701294794.0,
2024-11-07,10.98,11.18,10.6,10.88,1502448.23,1627659839.0,
2024-11-08,10.85,11.09,10.6,10.62,1229056.41,1327438296.0,
2024-11-11,10.54,11.68,10.43,11.68,1363450.73,1514586483.0,
2024-11-12,12.0,12.2,10.75,10.94,2062443.1,2334722822.0,
2024-11-13,10.71,11.2,10.55,10.98,1204109.0,1311768834.0,
2024-11-14,10.96,11.17,10.47,10.47,932819.7,1009808487.0,
2024-11-15,10.31,10.86,10.2,10.23,891969.96,940330841.0,
2024-11-18,10.34,10.4,9.26,9.34,1086211.94,1040015651.0,
2024-11-19,9.4,9.63,9.2,9.61,655603.62,616505444.0,
2024-11-20,9.67,10.13,9.6,10.0,781515.49,772400124.0,
2024-11-21,10.0,10.65,9.95,10.3,1015674.6,1041870515.0,
2024-11-22,10.12,10.65,9.98,10.05,1024720.69,1058612631.0,
2024-11-25,9.99,10.15,9.59,9.84,690135.56,674905049.0,
2024-11-26,9.85,10.07,9.53,9.55,614277.38,600391766.0,
2024-11-27,9.4,9.75,9.14,9.71,611645.55,577362330.0,
2024-11-28,9.74,9.9,9.57,9.63,486742.9,472629295.0,
2024-11-29,9.55,9.92,9.5,9.71,717663.85,696836887.0,
2024-12-02,9.7,10.48,9.63,10.14,870221.3,881333592.0,
2024-12-03,10.1,10.27,9.87,10.03,636570.3,637695425.0,
2024-12-04,9.93,10.05,9.7,9.74,477475.4,469706424.0,
2024-12-05,9.74,10.71,9.74,10.42,1881741.51,1956571292.0,
2024-12-06,10.4,10.46,10.02,10.32,1340968.37,1375504844.0,
2024-12-09,10.45,10.88,10.31,10.49,1296412.77,1371837147.0,
2024-12-10,10.84,10.84,10.44,10.47,974620.8,1033702596.0,
2024-12-11,10.35,10.55,10.3,10.53,626741.9,654994772.0,
2024-12-12,10.59,10.76,10.3,10.58,782739.57,825611718.0,
2024-12-13,10.41,11.0,10.35,10.63,1463008.38,1575969609.0,
2024-12-16,10.84,10.86,9.86,10.0,1165464.22,1192544255.0,
2024-12-17,9.92,9.93,9.6,9.64,623058.72,606043624.0,
2024-12-18,9.63,9.73,9.45,9.58,482438.66,463581504.0,
2024-12-19,9.42,9.73,9.39,9.67,461390.9,441012634.0,
2024-12-20,9.68,9.92,9.59,9.76,464517.5,453785795.0,
2024-12-23,9.7,9.71,9.17,9.2,523565.1,490342556.0,
2024-12-24,9.2,9.27,8.98,9.18,445081.16,405402622.0,
2024-12-25,9.18,9.18,8.68,8.83,447267.31,396223504.0,
2024-12-26,8.86,9.03,8.85,8.87,298211.93,266339020.00000003,
2024-12-27,8.86,9.08,8.8,8.95,308591.8,277309003.0,
2024-12-30,8.9,8.99,8.73,8.83,260643.6,230969873.0,
2024-12-31,8.87,8.92,8.46,8.46,364823.49,315056861.0,
2025-01-02,8.46,8.56,8.13,8.23,384756.65,321546378.0,
2025-01-03,8.27,8.32,7.75,7.77,443703.6,352407386.0,
2025-01-06,7.77,7.88,7.55,7.82,335493.57,260973027.0,
2025-01-07,7.85,8.04,7.78,8.0,407711.89,321676191.0,
2025-01-08,7.94,8.02,7.65,7.94,426602.36,335145177.0,
2025-01-09,7.95,8.1,7.88,8.0,334821.8,268286438.00000003,
2025-01-10,7.95,8.06,7.65,7.66,328558.5,258368181.0,
2025-01-13,7.58,7.72,7.4,7.67,264952.0,201179751.0,
2025-01-14,7.75,8.21,7.71,8.2,502372.4,403216738.0,
2025-01-15,8.25,8.49,8.22,8.28,679522.87,565703935.0,
2025-01-16,8.37,8.48,8.18,8.27,493878.71,410874143.0,
2025-01-17,8.22,8.68,8.13,8.33,641896.9,536315287.99999994,
2025-01-20,8.46,8.7,8.33,8.48,768819.64,654654403.0,
2025-01-21,8.29,8.4,8.15,8.27,514512.24,424817806.0,
2025-01-22,8.19,8.25,8.1,8.13,294890.99,240352763.0,
2025-01-23,8.3,8.43,8.13,8.13,456972.8,379260628.0,
2025-01-24,8.1,8.61,8.07,8.48,640210.58,536566110.0,
2025-01-27,8.6,8.65,8.34,8.38,379956.7,321616685.0,
2025-02-05,8.5,8.75,8.49,8.62,563796.33,486757620.0,
2025-02-06,8.71,9.3,8.59,9.12,911797.88,817997379.0,
2025-02-07,9.03,9.38,8.98,9.17,940969.95,862809452.0,
2025-02-10,9.19,9.45,9.09,9.41,774832.31,715905523.0,
2025-02-11,9.39,9.39,9.18,9.22,568558.81,526072122.0,
2025-02-12,9.18,9.37,9.16,9.29,562503.83,522607271.0,
2025-02-13,9.46,9.73,9.15,9.49,1115508.84,1055458483.0,
2025-02-14,9.44,9.65,9.12,9.58,995532.71,936394738.0,
2025-02-17,9.68,9.74,9.42,9.5,855752.94,819907001.0,
2025-02-18,9.39,9.53,8.94,8.98,782301.5,719863029.0,
2025-02-19,8.94,9.14,8.89,9.13,447950.27,406373124.0,
2025-02-20,9.12,9.18,9.04,9.14,404094.2,368295863.0,
2025-02-21,9.11,9.39,8.98,9.29,582394.62,535792650.0,
2025-02-24,9.24,9.28,9.01,9.16,510560.91,466507284.0,
2025-02-25,9.0,9.48,8.93,9.28,805986.25,747888138.0,
2025-02-26,9.34,9.42,9.18,9.33,615574.96,571223096.0,
2025-02-27,9.28,9.42,8.97,9.1,606638.16,554575208.0,
2025-02-28,9.01,9.05,8.48,8.51,546101.5,477671323.0,
2025-03-03,8.61,8.75,8.48,8.58,306210.06,264363874.0,
2025-03-04,8.5,8.86,8.48,8.75,333192.27,290124701.0,
2025-03-05,8.72,8.83,8.65,8.78,254733.5,222407323.0,
2025-03-06,8.84,9.18,8.83,9.12,605281.89,547685141.0,
2025-03-07,9.08,9.12,8.84,8.9,433690.1,389172050.0,
2025-03-10,8.84,8.86,8.67,8.77,292138.75,255344954.0,
2025-03-11,8.64,8.82,8.59,8.81,228802.75,199573561.0,
2025-03-12,8.86,9.11,8.83,8.93,399942.72,359021385.0,
2025-03-13,8.9,8.93,8.61,8.73,331099.44,288694252.0,
2025-03-14,8.68,8.95,8.63,8.92,319042.95,282008162.0,
2025-03-17,8.98,9.08,8.91,8.94,321306.14,289067840.0,
2025-03-18,8.96,9.36,8.94,9.28,896926.31,825998970.0,
2025-03-19,9.29,9.31,9.06,9.2,568274.19,519103888.0,
2025-03-20,9.19,9.26,9.02,9.03,375873.61,342631389.0,
2025-03-21,8.94,8.94,8.7,8.72,379840.33,334064459.0,
2025-03-24,8.67,8.74,8.25,8.47,375733.52,317886289.0,
2025-03-25,8.43,8.44,8.26,8.31,223002.35,185547919.0,
2025-03-26,8.32,8.41,8.3,8.32,174446.4,145779797.0,
2025-03-27,8.29,8.4,8.17,8.31,170993.08,141829708.0,
2025-03-28,8.3,8.35,8.19,8.21,152142.9,125526291.0,
2025-03-31,8.16,8.17,8.0,8.13,194803.49,157372568.0,
2025-04-01,8.13,8.21,8.11,8.12,125750.29,102505260.0,
2025-04-02,8.11,8.21,8.08,8.15,96473.77,78791249.0,
2025-04-03,8.06,8.21,8.02,8.09,124721.0,101275891.0,
2025-04-07,7.6,7.68,7.28,7.28,248374.03,182956100.0,
2025-04-08,7.0,7.37,6.88,7.08,378257.13,268081468.99999997,
2025-04-09,6.91,7.24,6.41,7.19,394017.94,271022217.0,
2025-04-10,7.35,7.53,7.27,7.34,301039.02,223065243.0,
2025-04-11,7.28,7.49,7.26,7.39,204616.81,151305879.0,
2025-04-14,7.49,7.6,7.47,7.51,207887.25,156541521.0,
2025-04-15,7.55,7.64,7.47,7.56,187689.12,141490224.0,
2025-04-16,7.5,7.56,7.31,7.41,164163.22,122059789.0,
2025-04-17,7.38,7.57,7.31,7.43,167531.9,125478966.0,
2025-04-18,7.43,7.7,7.36,7.65,283903.88,214091312.0,
2025-04-21,7.6,7.94,7.51,7.8,287369.4,223907352.0,
2025-04-22,7.81,7.93,7.77,7.79,217037.73,169934728.0,
