trade_date,open,high,low,close,vol,amount,turnover
2024-08-30,6.75,6.94,6.63,6.82,33009.14,22506360.0,
2024-09-02,6.84,6.9,6.77,6.77,26396.6,18046698.0,
2024-09-03,6.75,6.9,6.73,6.87,34060.14,23321704.0,
2024-09-04,6.83,6.93,6.76,6.78,20401.0,13963724.0,
2024-09-05,6.82,6.89,6.81,6.86,17010.14,11655079.0,
2024-09-06,6.87,6.88,6.7,6.73,18950.9,12801281.0,
2024-09-09,6.7,6.8,6.65,6.71,19541.0,13137202.0,
2024-09-10,6.73,6.75,6.57,6.66,28386.49,18858551.0,
2024-09-11,6.66,6.68,6.5,6.54,18562.0,12207407.0,
2024-09-12,6.59,6.65,6.54,6.6,18124.17,11987747.0,
2024-09-13,6.63,6.7,6.55,6.57,21105.09,13960733.0,
2024-09-18,6.57,6.58,6.32,6.48,26665.84,17133613.0,
2024-09-19,6.53,6.8,6.51,6.72,32282.84,21550485.0,
2024-09-20,6.75,6.76,6.54,6.67,26904.0,17816384.0,
2024-09-23,6.64,6.73,6.63,6.67,16989.0,11332662.0,
2024-09-24,6.67,6.95,6.66,6.95,40185.57,27549122.0,
2024-09-25,7.0,7.07,6.9,6.9,30658.5,21418253.0,
2024-09-26,6.85,7.19,6.85,7.17,46785.66,32989231.0,
2024-09-27,7.25,7.39,7.23,7.39,32480.0,23804444.0,
2024-09-30,7.86,7.96,7.54,7.9,115563.67,90173973.0,
2024-10-08,8.68,8.68,7.79,8.02,123613.65,100777159.0,
2024-10-09,7.98,7.98,7.3,7.32,96199.79,72563971.0,
2024-10-10,7.35,7.64,7.35,7.4,75136.0,56481435.0,
2024-10-11,7.4,7.44,7.09,7.16,55621.0,40302526.0,
2024-10-14,7.23,7.36,7.12,7.27,42614.0,30801908.0,
2024-10-15,7.33,7.33,7.12,7.12,46566.75,33504953.999999996,
2024-10-16,7.1,7.25,7.07,7.18,36867.51,26415251.0,
2024-10-17,7.18,7.25,7.06,7.06,29540.0,21068834.0,
2024-10-18,7.06,7.25,6.98,7.16,62066.0,44098652.0,
2024-10-21,7.25,7.25,7.12,7.15,47461.72,34053577.0,
2024-10-22,7.14,7.29,7.13,7.24,49044.61,35294016.0,
2024-10-23,7.24,7.31,7.2,7.29,48297.86,35044427.0,
2024-10-24,7.24,7.35,7.22,7.26,33570.62,24417896.0,
2024-10-25,7.28,7.45,7.26,7.45,50114.5,37049789.0,
2024-10-28,7.47,7.64,7.39,7.64,43671.51,32962926.0,
2024-10-29,7.63,7.66,7.39,7.44,60255.0,45062989.0,
2024-10-30,7.81,8.18,7.81,8.18,284310.84,230398095.0,
