rank,code,name,industry,score_100,composite_score,rps_score,rps20,rps90,ret_20d_pct,ret_90d_pct,close_today,amount_today,trade_date
1,000636,风华高科,元器件,100.0,104.4531373767655,99.74725502382432,99.95856639734825,99.60638077480837,144.01,247.73,60.54,12094500374.1,20260603
2,600396,华电辽能,火力发电,99.60629921259843,104.18860819654151,99.9337062357572,99.834265589393,100.0,95.6,616.11,21.34,6142576045.0,20260603
3,300394,天孚通信,通信设备,99.21259842519686,103.95505672747656,99.01388025688833,99.02631033768387,99.00559353635798,57.32,159.73,497.38,30156692486.4,20260603
4,601991,大唐发电,火力发电,98.81889763779527,103.93218294154207,99.24590843173814,99.85498239071887,98.83985912575099,98.69,147.96,9.1,10786446170.0,20260603
5,002281,光迅科技,通信设备,98.4251968503937,103.77718470856334,98.91443961052413,98.46695670188524,99.21276154961673,48.52,190.46,224.0,20594563651.3,20260603
6,300179,四方达,矿物制品,98.03149606299213,103.73727440012674,99.56080381189145,99.64781437746012,99.502796768179,82.76,219.63,51.3,5358748851.3,20260603
7,002484,江海股份,元器件,97.63779527559055,103.70109311592878,99.54423037083075,99.9171327946965,99.29562875492024,116.65,195.11,87.59,5309407056.79,20260603
8,300408,三环集团,元器件,97.24409448818898,103.6963038789164,99.08846074166149,99.08846074166149,99.08846074166149,58.69,174.28,134.89,9417962399.65,20260603
9,600183,生益科技,元器件,96.8503937007874,103.4987630850973,98.69484151646985,99.502796768179,98.1562046819971,74.59,111.09,141.09,15462433779.0,20260603
10,603773,沃格光电,元器件,96.45669291338582,103.42991018657308,99.60638077480837,99.54423037083075,99.64781437746012,77.87,249.47,118.82,4345587585.0,20260603
11,002491,通鼎互联,通信设备,96.06299212598425,103.41957615861759,99.04702713900974,97.92831986741247,99.79283198674125,42.88,296.59,24.39,6880695314.78,20260603
12,603256,宏和科技,玻璃,95.66929133858267,103.41275180053377,99.43235964367102,98.67412471514399,99.93784959602237,50.65,447.03,197.37,4806712372.0,20260603
13,300308,中际旭创,通信设备,95.2755905511811,103.39237621711207,98.39237621711207,98.52910710586286,98.30122229127822,48.95,115.01,1275.0,43881189297.3,20260603
14,300975,商络电子,元器件,94.88188976377953,103.34400857919302,99.54008701056557,99.68924798011187,99.44064636420137,86.5,215.06,42.69,4237180003.7200003,20260603
15,300302,同有科技,IT设备,94.48818897637796,103.27712986997159,99.3163455562461,99.62709757613425,99.10917754298735,82.34,175.57,54.81,4802933438.14,20260603
16,301511,德福科技,电气设备,94.09448818897637,103.15387708843637,98.91858297078932,97.57613424487259,99.81354878806712,38.0,305.37,124.53,5806848154.0,20260603
17,300502,新易盛,通信设备,93.7007874015748,103.14902691965537,98.16863476279262,98.59125750984047,97.88688626476072,49.72,103.73,782.25,33713841996.399998,20260603
18,600584,长电科技,半导体,93.30708661417323,103.04270098343873,98.16034804226227,99.3163455562461,97.38968303293971,66.24,90.88,80.13,26269142977.0,20260603
19,603629,利通电子,元器件,92.91338582677166,103.03506013965563,98.60368759063601,96.54029417857882,99.97928319867412,30.87,601.35,207.88,7513371224.0,20260603
20,600726,华电能源,火力发电,92.51968503937007,103.03016122545974,98.95172985291072,97.72115185415372,99.77211518541537,40.32,293.12,9.71,5044684845.0,20260603
21,600172,黄河旋风,矿物制品,92.1259842519685,103.02934473976042,99.00973689662317,99.4199295628755,98.73627511912161,71.49,142.97,15.04,4894197083.0,20260603
22,300757,罗博特科,专用机械,91.73228346456693,103.0008042993456,98.54982390718874,97.9904702713901,98.92272633105449,43.1,152.91,687.65,7691242962.969999,20260603
23,603618,杭电股份,电气设备,91.33858267716536,102.96556136438417,99.06360058007044,97.78330225813134,99.9171327946965,40.72,422.7,43.75,4669183498.0,20260603
24,600869,远东股份,电气设备,90.94488188976378,102.88706906006655,98.76942200124302,98.38408949658172,99.02631033768387,47.48,163.73,26.9,5114609764.0,20260603
25,300620,光库科技,通信设备,90.5511811023622,102.68450748851436,98.13548788067122,97.45183343691734,98.59125750984047,36.26,129.46,337.06,9235964044.52,20260603
26,300285,国瓷材料,陶瓷,90.15748031496062,102.6535785227702,98.14377460120157,99.21276154961673,97.43111663559147,61.55,91.36,60.47,8423496237.500001,20260603
27,002859,洁美科技,元器件,89.76377952755905,102.6300710464422,99.31634555624612,99.44064636420137,99.23347835094262,73.68,191.89,86.72,2841570258.6,20260603
28,603986,兆易创新,半导体,89.37007874015748,102.61786032001365,97.69629169256267,97.96975347006422,97.51398384089497,42.97,94.56,492.23,28838934890.0,20260603
29,300672,国科微,半导体,88.9763779527559,102.61174277044564,98.82742904495545,99.15061114563912,98.61197431116635,59.94,135.57,303.89,4133978128.2000003,20260603
30,600522,中天科技,通信设备,88.58267716535433,102.60157935144225,97.75844209654029,96.10524135073545,98.86057592707685,28.92,149.06,44.98,18962761947.0,20260603
31,002980,华盛昌,电器仪表,88.18897637795276,102.51470283576451,99.6519577377253,99.19204474829087,99.95856639734825,61.42,452.55,122.39,1863739738.6000001,20260603
32,605376,博迁新材,小金属,87.79527559055119,102.51317954154938,98.96415993370624,98.28050548995235,99.4199295628755,46.19,213.1,190.05,3260170130.0,20260603
33,002552,宝鼎科技,元器件,87.4015748031496,102.48295738432104,99.7182515019681,99.97928319867412,99.54423037083075,160.26,224.97,59.47,1751653768.0,20260603
34,601208,东材科技,化工原料,87.00787401574803,102.48177530801009,98.01118707271597,97.51398384089497,98.34265589392997,37.61,116.44,56.49,7907496126.0,20260603
35,002957,科瑞技术,专用机械,86.61417322834646,102.47699825735143,98.94758649264554,98.61197431116635,99.171327946965,49.94,183.01,66.11,3236208883.0400004,20260603
36,600487,亨通光电,通信设备,86.22047244094489,102.42849656954144,98.11477107934536,95.75305572819556,99.68924798011187,27.34,266.45,91.43,6333266041.0,20260603
37,002008,大族激光,专用机械,85.8267716535433,102.40223497727246,97.99047027139011,95.87735653615081,99.39921276154962,27.8,204.15,130.6,7364210982.67,20260603
38,601869,长飞光纤,通信设备,85.43307086614173,102.39225435357488,97.80401905945723,94.75864926455355,99.834265589393,23.25,315.1,444.99,9383791868.0,20260603
39,603890,春秋电子,元器件,85.03937007874016,102.34043797755274,98.30122229127822,99.29562875492024,97.63828464885022,65.33,98.42,31.33,4935974480.0,20260603
40,301377,鼎泰高科,机械基件,84.64566929133859,102.277592951413,98.8854360886679,99.23347835094262,98.6534079138181,61.96,138.44,384.74,3001052562.93,20260603
41,603115,海星股份,铝,84.25196850393701,102.20815510791016,99.63952765692977,99.2541951522685,99.89641599337062,62.99,400.0,102.0,1562154778.0,20260603
42,002938,鹏鼎控股,元器件,83.85826771653542,102.14149575305572,97.8081624197224,98.03190387404184,97.65900145017609,44.15,98.46,108.3,6710581308.63,20260603
43,000767,晋控电力,火力发电,83.46456692913385,102.05320562034633,98.21006836544437,98.57054070851461,97.96975347006422,49.51,105.76,6.07,4547253365.059999,20260603
44,301013,利和兴,专用机械,83.07086614173228,101.95575134963867,98.36751605552102,99.89641599337062,97.34824943028796,105.39,90.29,54.08,3323910086.6,20260603
45,300903,科翔股份,元器件,82.67716535433071,101.57083318100392,98.64926455355294,97.18251501968096,99.62709757613425,34.56,248.11,69.97,1907030059.56,20260603
46,600667,太极实业,半导体,82.28346456692913,101.56807906506295,97.35239279055314,98.32193909260411,96.70602858918583,46.36,79.59,14.87,5616749349.0,20260603
