rank,code,name,industry,score_100,short_score_100,leader_score_100,rps90_score_100,short_rank,leader_rank,rps_rank,rps20,rps90,trade_date
1,002281,光迅科技,通信设备,99.26739926739927,,100,98.53479853479854,,1,5,98.75621890547264,99.4195688225539,20260528
2,603115,海星股份,铝,90.97203609398731,,87.8048780487805,94.13919413919413,,11,17,99.64759535655058,99.93781094527363,20260528
3,300199,翰宇药业,化学制药,89.83194717004642,97.9565772669221,81.70731707317073,,33,16,,,,20260528
4,300408,三环集团,元器件,87.92548914500134,,78.04878048780488,97.8021978021978,,19,7,99.27446102819238,99.17081260364843,20260528
