rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_next_2_3d_setup
56,002335,科华数据,制造业-电气机械和器材制造业,12.698412698412698,-0.47533158858920616,-0.5374401537475655,-0.5266437607397779,-0.5329056686842947,-0.6949651835231789,-0.6980023351098713,1.3630171745746886,0.08255129632575153,0.1012944983818771,0.0056146572104018855,0.1818023962493489,0.07258801651590141,-0.025765817348983644,0.8641509433962267,0.07258801651590141,0.03095785923661252,0.005829810761024884,0.412698490060808,1.3557495088791274,1.1211627243008102,7.356,6.756500000000001,0.08872937171612505,0.03870821903976294,0.03188916124142699,0.013121440935176755,0.5,-0.1003250591016549,0.02590096604854889,0.04516846772279342,0.028191529116379677,0.3783172810948899,0.5284542007262918,0.10644252246636521,1961236076.4895,68.0,2026-05-08,False,False,True
57,002519,银河电子,制造业-计算机、通信和其他电子设备制造业,11.11111111111111,-0.4848674790512248,-0.38364851212292045,-0.8586372786478553,-0.583143794063393,-0.496982184938037,-0.8504492045408776,0.5856708506038729,0.0579010856453559,0.11294416243654815,0.02934272300469476,0.08539603960396036,0.06174334140435822,-0.03698998606973519,0.7571428571428571,0.06174334140435822,0.01549636803874086,0.0021518687760563484,0.6359865500489927,1.316484744688576,1.1042906039188234,8.36,7.733999999999997,0.08094129816395168,0.03325443773172047,0.028224621535878666,0.014710484577719713,0.55,-0.09688581314878886,0.028429504270164548,0.049091914956156196,0.13769663768407292,0.18009216419871055,0.6412803510491352,0.24259061669280063,719712530.013,8.76,2026-05-08,False,False,True
58,600141,兴发集团,制造业-化学原料和化学制品制造业,9.523809523809524,-0.4910130445003439,-0.6816282531390643,-1.093050354182291,-0.8544255355772195,-0.24172781238608168,0.7070914009170288,-0.3445763258027987,0.01931200965600488,0.011927549262787288,0.04517326732673266,0.01319736052789433,0.03664150248573006,-0.0011827321111768097,0.9360465116279073,0.03664150248573006,0.0059534769532929134,0.0006520628583057482,1.1072092192623262,1.3339373226729134,1.2255470962018862,2.996,2.4435000000000002,0.22611008798854093,0.023753182233904675,0.020435016835557013,0.010361610590827113,0.6,-0.046185935637664044,0.01573284870469127,0.039267312975907916,-4.32571411821403e-05,0.04008062040682545,0.5651972524246919,0.12439219039055657,955251959.25,33.95,2026-05-08,False,False,True
59,300520,科大国创,信息传输、软件和信息技术服务业-软件和信息技术服务业,7.936507936507936,-0.5332318987440499,-0.8085756912526487,-0.9829624425641053,-0.8818181268034604,-0.23745533415169776,0.4113583709824758,-0.014057094303975837,0.04423337856173659,0.12219305920093326,0.06829539144919461,0.057433360813410106,0.06544100341948966,-0.027300303336703857,0.7894002789400272,0.06544100341948966,0.01521465258261454,0.0007650680145464544,0.7888462347140085,1.0679317756594895,1.0764943219695424,5.2940000000000005,5.018,0.055001992825827184,0.030201076292057295,0.026473282328159323,0.015522137192342767,0.6,-0.1333333333333333,0.025352463628570184,0.03235033103753082,0.1799012207837858,0.1308175205425652,0.6557881631907847,0.2863502015890894,517437212.853,38.48,2026-05-08,False,False,True
60,600930,华电新能,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,6.349206349206349,-0.5424,-0.3200000000000001,-0.9999999999999999,-0.6055999999999999,-1.0000000000000002,0.7200000000000002,-1.0000000000000002,0.019138755980861344,0.015898251192368873,0.05271828665568368,0.03902439024390225,0.03339532627152897,-0.015408320493066285,0.8148148148148139,0.03339532627152897,0.021945500121290484,0.003512865611915254,0.37865827833367965,1.098295969845717,1.02086823994087,5.151999999999999,5.139,0.0025296750340531027,0.02246140195377091,0.0173742145630937,0.0074739698238757155,0.45,-0.034428794992175216,0.01683348861159285,0.022371215181747763,-0.006865976449907496,0.14949456226805963,0.5303154305200345,0.20733162830349566,1029241084.1,6.39,2026-05-08,False,False,True
61,300880,迦南智能,制造业-仪器仪表制造业,4.761904761904762,-0.5468,-0.7400000000000005,-0.9999999999999999,-0.8492000000000002,-0.2999999999999987,-0.44000000000000056,1.0000000000000009,0.04982517482517479,0.05721830985915499,0.072800357302367,0.1276995305164319,0.06433888691953227,0.0008333333333332416,0.902439024390244,0.06433888691953227,0.026160935838355305,0.0049781046021647275,0.5720400485303453,1.1205144667464966,1.014407075272993,4.4079999999999995,4.513,-0.02326612009749618,0.01995230780710977,0.026800287695101774,0.007697025833783537,0.65,-0.0440547476475619,0.029659692462303593,0.04231372224066097,-0.00944835680751166,0.3465116116950019,0.5147341547341543,0.3595515595515596,199474094.433,24.04,2026-05-08,False,False,True
62,300260,新莱应材,制造业-通用设备制造业,3.1746031746031744,-0.6642834945829826,-0.7041901806758153,-1.0133352231054134,-0.8340310984962465,-0.8771123556187028,0.07915972425689091,0.27446190637722945,0.009382593332788652,0.0950471225185483,0.07288801571709236,0.1299399958617835,0.07821554438927114,-0.014971139971139968,0.8941326530612247,0.07821554438927114,0.04356101365292173,0.005345852266034337,0.5018408297761011,1.0774790097702582,1.365809217033,5.800000000000001,4.444500000000001,0.3049836877039036,0.025299712265351798,0.02109230734117544,0.010512219041530008,0.65,-0.052570320077594435,0.016948900704094255,0.035626580213495525,0.06318285601741036,0.35349995432243386,0.569002703526418,0.29456318794644976,652915525.2995,54.63,2026-05-08,False,False,True
63,000733,振华科技,制造业-计算机、通信和其他电子设备制造业,1.5873015873015872,-0.8044729913888539,-0.8332427730621716,-1.6942055712532524,-1.1948471483024254,-0.2241654248747278,-0.4278019849404924,-0.882902056886207,0.06666666666666665,0.06568672485071203,0.0022514164017282414,0.010546718962471998,0.02256737869642901,-0.03674486194727011,0.7186009538950711,0.02256737869642901,-0.008901124474714913,-0.0013180355248155816,0.8925559074665259,1.1337969970320774,1.3866695429399107,2.8760000000000003,2.0035,0.4354878961816824,0.028700052408583296,0.021077455920375188,0.021321060888003455,0.6,-0.106521283287901,0.01965907818036174,0.018475166039124913,0.1220369632555669,0.037318925209175804,0.5578524667791996,0.38165370606030613,503212524.3615001,46.38,2026-05-08,False,False,True
64,000100,TCL科技,制造业-计算机、通信和其他电子设备制造业,0.0,-0.8238573890384697,-1.8623674341942014,-1.6509713173021145,-1.773581065099525,0.7639592621327026,0.7204597405353622,0.0019262245348431462,0.011655011655011593,0.011927549262787288,0.0022514164017282414,0.010546718962471998,0.02256737869642901,-0.029082774049216997,0.6723418899530804,0.02256737869642901,-0.00615063247069767,-0.00082543599337211,1.0403536140131013,1.465388964474772,1.5332260464659389,3.186,2.0755000000000003,0.5350517947482532,0.015337396317738002,0.012406488383045129,0.005527857201675066,0.45,-0.0365296803652968,0.010848206185293334,0.021902577571179357,0.002309444014780171,0.037318925209175804,0.420010978138914,0.2836580086580099,1710814040.8089995,4.35,2026-05-08,False,False,True
