rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used
2639,600882,妙可蓝多,制造业-食品制造业,6.487061325771003,-0.5957024280649564,-0.7373814297559788,-0.8827193217933544,-0.7984233444116765,-0.134018723217909,-0.547842374667689,-0.4597247274185348,-0.019549999999999998,-0.022916666666666665,-0.03133333333333333,-0.033666666666666664,-0.03133333333333333,-0.024599999999999997,0.4518333333333333,-0.03133333333333333,-0.012624999999999999,-0.00505,1.0725,1.06525,1.058,1.82,1.82,0.0,0.044000000000000004,0.044000000000000004,0.022000000000000002,0.47475,-0.044000000000000004,0.044000000000000004,0.044000000000000004,0.01075,-0.6965517193341261,0.471,0.044000000000000004,190353610.0,20.38,2026-05-06,True
2640,603218,日月股份,制造业-通用设备制造业,6.451612903225806,-0.5961272344981069,-0.8719022580519382,-0.9185984703236917,-0.8915146672060745,-0.7540969794326972,0.6068471779591557,-0.7273186014194326,-0.014185,-0.01790833333333333,-0.027216666666666667,-0.037233333333333334,-0.027216666666666667,-0.01977,0.45416666666666666,-0.027216666666666667,-0.0139625,-0.005585,1.043,1.0387,1.0344,1.63,1.63,0.0,0.024300000000000002,0.024300000000000002,0.012150000000000001,0.472075,-0.024300000000000002,0.024300000000000002,0.024300000000000002,0.019325000000000002,-0.821323523372621,0.4828,0.024300000000000002,212301810.0,12.64,2026-05-06,True
2641,300448,浩云科技,信息传输、软件和信息技术服务业-软件和信息技术服务业,6.41616448068061,-0.599174219960391,-1.031458096917488,-0.6570227221496742,-0.8741952395150061,-0.6465564697147699,0.22719682817435072,-0.34130712123819174,-0.017035,-0.020991666666666665,-0.030883333333333332,-0.03956666666666666,-0.030883333333333332,-0.022969999999999997,0.44933333333333336,-0.030883333333333332,-0.014837499999999998,-0.005934999999999999,1.0555,1.04995,1.0444,4.9,4.9,0.0,0.0358,0.0358,0.0179,0.470325,-0.0358,0.0358,0.0358,0.018574999999999994,-0.7682847846712959,0.4778,0.0358,252938264.0,8.02,2026-05-06,True
2642,300479,神思电子,信息传输、软件和信息技术服务业-软件和信息技术服务业,6.380716058135413,-0.6010171182676635,-0.9350885066287411,-0.7626997292914947,-0.8626852201470976,-0.8864018985952291,0.5979681753577121,-0.6342758562648478,-0.01289,-0.018016666666666667,-0.030833333333333338,-0.051266666666666676,-0.030833333333333338,-0.02058,0.44353333333333333,-0.030833333333333338,-0.019225000000000003,-0.007690000000000001,1.026,1.0234,1.0208,3.17,3.17,0.0,0.0248,0.0248,0.0124,0.46155,-0.0248,0.0248,0.0248,0.03325000000000001,-0.8611422124236159,0.4896,0.0248,108402326.32,17.22,2026-05-06,True
2643,300118,东方日升,制造业-电气机械和器材制造业,6.345267635590217,-0.6013934525101681,-0.7342599940700352,-1.0674498233291219,-0.8741997223588516,-0.8073700286823082,0.05037854844041586,0.39991071824415225,-0.00828,-0.0138,-0.0276,-0.0552,-0.0276,-0.01656,0.4448,-0.0276,-0.0207,-0.00828,1.0,1.0,1.0,6.95,6.95,0.0,0.0361,0.0361,0.01805,0.4586,-0.0361,0.0361,0.0361,0.0414,-0.8210213147197754,0.5,0.0361,1140248760.73,17.74,2026-05-06,True
2644,002984,森麒麟,制造业-橡胶和塑料制品业,6.309819213045019,-0.6016052003854976,-0.9657876361491687,-1.0787785850254938,-1.0132438346772252,-0.53106987039682,0.6183208925552397,-0.541683248961584,-0.024985,-0.031575,-0.04805,-0.0659,-0.04805,-0.03487,0.419,-0.04805,-0.0247125,-0.009885,1.0755,1.06795,1.0604,2.3,2.3,0.0,0.0239,0.0239,0.01195,0.450575,-0.0239,0.0239,0.0239,0.034325,-0.8921480104144945,0.4698,0.0239,279108868.77,16.92,2026-05-06,True
2645,301050,雷电微力,制造业-计算机、通信和其他电子设备制造业,6.274370790499822,-0.6021893530159163,-0.595124267357172,-1.3560391241043859,-0.9147085071910018,-0.46263940474498755,0.2916392081380603,-0.7113921669010634,0.004469999999999998,-0.005283333333333338,-0.029666666666666675,-0.09438938976377954,-0.029666666666666675,-0.010160000000000002,0.42156666666666665,-0.029666666666666675,-0.0361034375,-0.013651624999999999,1.0955,1.08595,1.0764,3.36,3.36,0.0,0.033,0.033,0.0165,0.42685,-0.033,0.033,0.033,0.09225000000000001,-0.8986486458886712,0.5382,0.013900000000000003,287804833.63,40.5,2026-05-06,True
2646,603081,大丰实业,制造业-专用设备制造业,6.238922367954626,-0.6042771417489081,-0.995453915331965,-0.9708467254290599,-0.9851188955727448,-0.2711556008910829,0.2881461525863728,-0.7148858469432777,-0.028565,-0.033141666666666666,-0.044583333333333336,-0.04576666666666667,-0.044583333333333336,-0.03543,0.4325333333333333,-0.044583333333333336,-0.0171625,-0.0068650000000000004,1.1085,1.09765,1.0868,2.13,2.13,0.0,0.0305,0.0305,0.01525,0.465675,-0.0305,0.0305,0.0305,0.012625000000000004,-0.8182359903561621,0.4566,0.0305,110222448.0,12.19,2026-05-06,True
2647,300516,久之洋,制造业-计算机、通信和其他电子设备制造业,6.20347394540943,-0.6043870575459837,-0.41087871648365054,-1.169255396206439,-0.7293969219672216,-0.31224068084625756,-0.45870820370491877,-0.7943574543080849,0.013325,0.005341666666666668,-0.014616666666666663,-0.07983333333333333,-0.014616666666666663,0.0013500000000000005,0.4454666666666667,-0.014616666666666663,-0.0299375,-0.011975,1.1265,1.11385,1.1012,2.77,2.77,0.0,0.055999999999999994,0.055999999999999994,0.027999999999999997,0.440125,-0.055999999999999994,0.055999999999999994,0.055999999999999994,0.085175,-0.8104906909966474,0.5506,0.030699999999999995,266078344.0,52.7,2026-05-06,True
2648,002012,凯恩股份,制造业-造纸和纸制品业,6.168025522864232,-0.6045641515472764,-1.0987567437470789,-0.3856041509518984,-0.799232654773103,-0.8037163702892993,0.2780457311040546,-0.634969238238799,0.0014880952380953438,-0.03719599427753928,-0.03857142857142848,0.04828660436137078,-0.018807406327452814,-0.06646174999999999,0.4672131147540987,-0.018807406327452814,-0.004869514506487604,0.0021573104652577494,1.0,1.0,1.0,2.4000000000000004,3.132,0.0,0.013511832204142031,0.01941661430926972,0.01002918888179793,0.55,-0.0708333333333333,0.020278528663504096,0.04000797948141068,-0.1259810410065112,0.15247310794452118,0.425725,0.29865384615384577,104517093.55,6.73,2026-05-06,False
