rank,code,name,industry,score_100,short_score_100,leader_score_100,rps90_score_100,short_rank,leader_rank,rps_rank,rps20,rps90,trade_date
1,002636,金安国纪,元器件,90.7536231884058,,85.5072463768116,96,,11,13,99.95863495346433,99.87590486039298,20260630
2,603186,华正新材,元器件,86.13043478260869,,78.26086956521739,94,,16,19,99.52430196483971,99.25542916235781,20260630
