rank,code,name,industry,score_100,short_score_100,leader_score_100,rps90_score_100,short_rank,leader_rank,rps_rank,rps20,rps90,trade_date
1,301511,德福科技,电气设备,93.36784867241279,,93.22033898305084,93.51535836177474,,5,20,97.66673549452818,99.87610984926698,20260625
2,603186,华正新材,元器件,93.20298490194943,,91.52542372881356,94.88054607508532,,6,16,99.87610984926698,99.60768118934544,20260625
3,002636,金安国纪,元器件,87.61207844044657,,79.66101694915254,95.56313993174061,,13,14,99.93805492463349,99.73157134007846,20260625
4,000636,风华高科,元器件,84.06316885520911,,69.49152542372882,98.63481228668942,,19,5,99.54573611397893,99.54573611397893,20260625
