rank,code,name,industry,buy_signal_flag,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
1,601066,中信建投,证券,可买入,100.0,1.1794744453463306,1.8884987943490459,1.649654928499144,1.7834074933750892,1.9869376530370964,-0.03349576699661952,-0.17279055774373114,0.02402022756005051,0.08240534521158138,0.10004526935264835,0.09954751131221706,0.058708201720945485,-0.03494837172359011,0.7317073170731712,0.039015357804160766,0.02592745888247472,0.02569545302200882,0.0016552654919075132,1.7667118564206719,1.8696683751249135,1.8503282751148993,0.2866247324611137,0.8079566247998071,4.9169,1.9318875,0.0,0.02765626982447061,0.023180552665421465,0.009021617844474233,0.5,-0.05660377358490565,0.016717801867529154,0.02186324781630479,-0.018775980247039407,0.06656824113918325,0.28996977296239057,0.545022631563706,0.33239672327500347,606649241.7,25.55,2026-06-03,False,False,True,True
2,600377,宁沪高速,路桥,可买入,90.0,0.8830717272615323,1.205809798094605,0.5660605604697401,0.9243201335396645,0.6850377459518896,1.512315106743166,-0.8821128734248044,0.022943037974683556,0.04611650485436902,0.059836065573770636,0.05810147299508994,0.04316256555062514,0.0,0.9369668737060041,0.02444534086325123,0.018442920532472717,0.020752697027094147,0.0021691987127964826,1.6359883636322434,1.388787593590858,1.2208032885119509,0.2221242209342319,0.6969023813210209,2.1831,1.8700625,0.0,0.011705096345225702,0.010467127224518038,0.002520354260126943,0.55,-0.020866773675762618,0.00888144781824743,0.01630830094223601,-0.013420700845557666,0.03465987637646406,0.3310484383199916,0.6966573743795573,0.12985842985842844,118700491.31798752,12.84,2026-06-03,False,False,True,True
3,603683,晶华新材,化工原料,可买入,80.0,0.8500246916012725,1.2032280973777985,0.3290213892694717,0.8185771458101347,1.1394605812197922,1.0199093811251487,0.4641817019802769,0.06421356421356417,0.07272727272727275,0.06884057971014479,0.035814606741572996,0.04360130892367553,-0.028006589785832037,0.7612359550561796,-0.00521800654461857,-0.008232068630052282,0.02461170415209235,-0.002386704357072059,1.9291058093567186,1.3451388843213425,1.1156575444015242,0.13618249390192727,0.570090240536328,12.8145,12.8145,0.0,0.027500876428218,0.023792861033163457,0.008052717226810153,0.55,-0.08571428571428574,0.016511024326233185,0.03810740282620209,-0.02514957572622075,0.10713738508682336,0.10107387834281281,0.5034015016565346,0.3424597958826144,340019657.2,30.82,2026-06-03,False,False,True,True
4,002568,百润股份,红黄酒,可买入,70.0,0.8254456788135358,1.5763281994978684,0.8068693755129431,1.2377663169445015,0.9952405985269284,0.49243621102604374,-0.35245135053970944,0.0693855932203391,0.10812294182217363,0.13746478873239454,0.10569550930996718,0.09511024326743156,-0.0004950495049503845,0.9369668737060041,0.03555447075095608,0.024142326363463827,0.028592948002677865,0.0016887879123404295,2.054254841201742,1.7023391143638833,1.512160942309413,0.2081708683692713,0.6780284579154393,5.468,5.468,0.0,0.031798451800000724,0.028556710813929957,0.009612759687662386,0.45,-0.07922350472193063,0.025346331277318942,0.04124888121039065,-0.031707351250547626,0.11031352232600733,0.2242891761594318,0.6098847624314081,0.281343307744031,369275329.43100005,19.25,2026-06-03,False,False,True,True
5,601963,重庆银行,银行,可买入,60.0,0.6636902224342917,0.7972469852517382,1.7230272302100302,1.2045902930333867,0.9783041514177622,-0.5494948733266992,-0.06773541869843858,0.04493392070484581,0.04585537918871241,0.08310502283105015,0.11781338360037696,0.07788784876851751,-0.01983471074380172,0.868131868131868,0.05553030991547758,0.04862310279014807,0.01754007398273738,0.007295344605264849,1.6580022998394208,1.2679042153390876,1.0757953055799472,0.17560685449661248,0.8394950100664933,1.9269,1.9269,0.0,0.022785574476344973,0.020613156918567042,0.006460508042609433,0.55,-0.023679417122040025,0.018010470270457952,0.026501783605561435,-0.021406995604499345,-0.02294763683390788,0.3852378497922903,0.5691907308377888,0.29245632798574006,155287015.6,12.01,2026-06-03,False,False,True,True
6,600857,宁波中百,百货,可买入,50.0,0.6626654207647793,0.9327187001774698,1.264581881189137,1.0787384998226035,1.1282513565576617,-0.4118496586403042,0.5060126851271523,0.04861032327353576,0.12365975696926368,0.06648575305291726,0.27081649151172194,0.12086560314659223,0.0015323224957580826,0.7757009345794394,0.0659275083026547,0.05364219261068857,0.09718270023726339,0.009151832792002467,2.2508922578586694,1.7766918224460206,1.5511569342197005,0.4029097226902501,0.789662281970191,16.740449999999996,16.713589999999996,0.0,0.04445773209738281,0.0506334428304942,0.03028644959527697,0.6,-0.11211340206185572,0.049609444872096654,0.06978790115427423,-0.05768082738496769,-0.0073022478811810565,0.3370258086407745,0.652360533948471,0.25816578184100275,213670687.4,17.22,2026-06-03,False,False,True,True
7,002353,杰瑞股份,化工机械,可买入,40.0,0.530780606918225,1.0182804484839845,1.0031112423834183,1.0116059977997356,0.32401863438465794,-0.12355610839777147,0.6068493633032497,0.03916301427965507,0.07025846377866762,0.05641394178943582,0.15520628683693527,0.04005263939889203,-0.03283110730969152,0.7616148670297982,0.006077586511861632,-0.003139968444661268,0.16800725016940943,-0.0021185134423519123,1.393131798744907,1.1862514837075642,1.1189440608784318,0.11214707710597248,0.48753526177923207,2.07,3.3073800000000007,0.0,0.034942682287145053,0.04088676440912363,0.02028451383091242,0.5,-0.11816976127320966,0.03957712072585252,0.06038865619274668,-0.04790173491261018,-0.009112852527815685,0.24004519042510658,0.43596061771957684,0.2596726445405507,2660200037.885,143.04,2026-06-03,False,False,True,True
8,002039,黔源电力,水力发电,可买入,30.0,0.5122560815434816,0.6661024098667334,0.7355196880227824,0.696646012255395,0.5102802285259596,0.33559323807704927,-0.16016695409458642,0.08149151604285843,0.10665362035225057,0.11538461538461542,0.09965969859017987,0.08708538288833623,-0.028767711464147583,0.8249614545212134,0.042281927299746336,0.029174112324523358,0.030462431074276708,0.0030777833817700255,1.8250676635191412,1.7495111116552087,1.4217636985439255,0.302575334898273,0.7766004459517918,7.9847,7.9847,0.0,0.03702368419336172,0.029864267097940357,0.014171433933021364,0.65,-0.058573452999527764,0.0239951153347081,0.04209052756073085,-0.0312332802251172,0.11297350367748149,0.22113044837337464,0.6966573743795573,0.20209947644829224,338857817.37950003,22.32,2026-06-03,False,False,True,True
9,000883,湖北能源,水力发电,可买入,20.0,0.4525945641559098,0.2560038865157039,0.7699119546385752,0.48212343648976724,0.4751164777532967,0.4357350136277694,-0.43484303470254587,0.054474708171206254,0.06066536203522488,0.09939148073022319,0.11293634496919913,0.07978882358800665,-0.0018416206261510082,0.9369668737060041,0.04273333997410078,0.033489391373642666,0.024527146550551437,0.0039140584801978726,1.7444329257485394,1.5197542012283463,1.2572831425069868,0.4233024249390205,0.7912207649531933,5.2576,5.2576,0.0,0.026025545068938807,0.021632375776660037,0.01609903586312324,0.6,-0.05232558139534893,0.023792613034714877,0.03195322573748886,-0.02705685811582447,0.011384047866846991,0.3596736050255111,0.6906593406593411,0.30934065934065896,337503014.30899996,5.31,2026-06-03,False,False,True,True
10,600642,申能股份,火力发电,可买入,10.0,0.30784081239162986,0.6367757721474826,0.4622495514988598,0.5599842350620886,-0.18786538396192393,0.5746828227373185,-0.9924469098110368,0.09238578680203058,0.1150259067357513,0.1434643995749203,0.18241758241758244,0.11745767992522582,0.0015323224957580826,0.9369668737060041,0.04953785439817193,0.03840481877661221,0.041836477080102075,0.005150481354492239,2.0434783471885583,1.657522369233653,1.299673208344225,0.25774992197627195,0.7551426355567862,3.2638,3.2638,0.0,0.026357848423848314,0.021264091936525786,0.011871229930417535,0.55,-0.04069175991861651,0.019584614843235072,0.040817514008285635,-0.028077774509255297,0.05458634629619086,0.45859652755444325,0.6966573743795573,0.2644444444444455,417385091.05,10.39,2026-06-03,False,False,True,True
