rank,code,name,industry,score_100,short_score_100,leader_score_100,rps90_score_100,short_rank,leader_rank,rps_rank,rps20,rps90,trade_date
1,301511,德福科技,电气设备,95.22781774580335,,93.33333333333333,97.12230215827337,,5,9,98.4488107549121,99.91726990692864,20260622
2,600869,远东股份,电气设备,92.95563549160671,,91.66666666666666,94.24460431654677,,6,17,99.21406411582213,99.11065149948294,20260622
3,603186,华正新材,元器件,90.52158273381295,,85,96.0431654676259,,10,12,99.71044467425025,99.52430196483971,20260622
4,002636,金安国纪,元器件,88.13549160671462,,81.66666666666667,94.60431654676259,,12,16,99.97931747673216,99.71044467425025,20260622
5,600183,生益科技,元器件,83.2673860911271,,68.33333333333333,98.20143884892086,,20,6,99.25542916235781,98.80041365046536,20260622
