rank,code,name,industry,buy_signal_flag,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
1,600999,招商证券,证券,可买入,100.0,0.9508730645790724,0.8681417070391287,1.746374181955751,1.2545639960024426,0.544296470470476,0.49354911638887966,0.9761623280239549,0.03803486529318545,0.11079706048615012,0.16341030195381867,0.1332179930795847,0.11142533936651589,0.018134715025906578,0.978395061728395,0.07194570135746603,0.05214932126696836,0.07434752225564378,0.005013098356751607,2.177266984400936,1.505315159198667,1.5752898379488796,0.3775558676670874,0.496172660315884,6.1376,6.1376,0.0,0.022907122291667397,0.021654032287297436,0.012248226300644262,0.65,-0.05484051482932295,0.015094282523908266,0.031851156129294074,-0.02179703196606259,0.0906125160801523,0.36456394531608194,0.628903694397128,0.25225572589272716,1611218555.25,20.28,2026-06-24,False,False,True,True
2,002861,瀛通通讯,元器件,可买入,85.71428571428571,0.9013048018281271,1.0112548297735544,0.7246091367501245,0.8851307248432454,1.261446828831654,1.0531385730689626,-0.5129965341131332,0.0912052117263844,0.12984822934232731,0.12353269983230852,0.06971793507184687,0.09671259036966307,0.025510204081632626,0.8967551622418886,0.02196153321511396,0.012576728959214243,0.07379306304194988,0.00033353059363726165,2.5482437253701087,1.794245439209237,1.373440984582191,0.16335645424344847,0.4964009638577537,7.8267,7.8267,0.0,0.026062574133534525,0.027725646975205742,0.013322542617956575,0.5,-0.08133472367049,0.023472039829135857,0.0587437434059581,-0.03758072125986475,0.1830680271070958,0.152574022227855,0.7176061314062712,0.28239386859372884,124255006.501,21.25,2026-06-24,False,False,True,True
3,002925,盈趣科技,元器件,可买入,71.42857142857143,0.7051516087185828,0.6673418375117823,0.5552746122298835,0.6180322583877469,0.9085412805424607,0.8772379659208263,0.03697166626285048,0.06623134328358193,0.09325681492109039,0.01554864504664577,0.11024769305488102,0.06839903722571439,-0.008673026886383273,0.9509803921568629,0.022877573434907372,0.018316079732666423,0.04733351281235487,0.0037786378174070614,1.6483167976004134,1.3704848564051335,1.1914872332357795,0.08173154976862684,0.7011139974393839,11.3628,11.3628,0.0,0.02584031737998748,0.03333308317369934,0.010480121165401885,0.4,-0.09194854692710819,0.03445259367573948,0.05139271576858132,-0.04122864251287622,0.0777152899089486,0.22090037869943227,0.7735077129443327,0.18608824665162688,395243770.0680001,23.65,2026-06-24,False,False,True,True
4,301500,飞南资源,环境保护,可买入,57.14285714285714,0.6900822249497676,0.6296960272468017,1.206915980804124,0.8836728068120236,1.0684929359733109,-0.13210795691642657,1.0348684360354292,0.05898975626986935,0.06312056737588656,0.16744548286604366,0.10668143226282756,0.13511159911402237,0.02111716621253401,0.9900249376558596,0.07566779622512931,0.05043636294795833,0.02691896445582076,0.004847797133254911,2.2544303111125177,1.4316123571319082,1.5962708887454027,0.20293273311808577,0.8539882632578915,10.3964,10.3964,0.0,0.057542563256666845,0.04620622020334369,0.01903343848070553,0.5,-0.11609792284866483,0.04908049300804659,0.054025899638281166,-0.05105865566014042,0.02214603802926418,0.18115712529050382,0.60619321649036,0.2661472090415551,403878651.9290001,27.71,2026-06-24,False,False,True,True
5,300538,同益股份,塑料,可买入,42.857142857142854,0.5131035575687002,0.7947316771555613,0.4499303646061538,0.643019099633822,0.8578270885614888,0.21709423939444095,0.19532581413724803,0.051466519092418395,0.1390887290167866,0.07587768969422415,0.0963646855164455,0.08039108872860834,-0.007314524555903867,0.9567901234567899,0.03581074064633305,0.026576239972147465,0.07171594380849133,0.0024000353442640643,2.176002447547452,1.374717925735705,1.200396085658374,0.33711050994983355,0.681215371655393,14.1305,14.1305,0.0,0.037349099411383674,0.03735214000552405,0.0193694612070009,0.6,-0.12950026867275666,0.03728938308188649,0.06979654874069796,-0.050292249345411086,0.17659594194234918,0.14962727303217727,0.7349987674047329,0.23264829141879662,246200134.588,17.73,2026-06-24,False,False,True,True
6,601688,华泰证券,证券,可买入,28.57142857142857,0.4305629898839309,0.13892425052518298,1.3102568826233238,0.654310608648365,-0.04402137999762287,-0.042326423631701235,0.9890062045211357,0.04107579462102695,0.06609914872308464,0.12944297082228107,0.17235682819383258,0.1081327260897853,0.01866028708133971,0.9739884393063584,0.06232921275211467,0.05004554326610293,0.01691102524744581,0.006683853420147625,2.089538018215442,1.362450814097935,1.3807356386828025,0.34502925960565867,0.43082805961945986,2.759,2.759,0.0,0.032740875718397816,0.025962601334571064,0.013004736048486292,0.6,-0.044009779951100225,0.016665188370908576,0.034226103763203924,-0.023689554527826714,-0.0335704548011444,0.36456394531608194,0.4665647181941422,0.3383491622516529,2505742237.45,20.86,2026-06-24,False,False,True,True
7,002194,武汉凡谷,通信设备,可买入,14.285714285714285,0.2951682328204067,0.44158479006094836,0.5936681453566025,0.5085014663910362,0.1791136376431814,0.076735245731691,-0.1308784403987073,-0.013364779874213806,0.10378188214599837,0.03377265238879734,0.011281224818694646,0.060100519491489646,-0.029389017788089666,0.8146341463414638,0.04422012923934626,0.03702327152933225,0.029598921567206338,0.004127605833013903,0.9708176117276771,1.196858627788658,1.1713389844763946,0.13184872364477163,0.5358653557070442,7.5172,7.5172,0.0,0.04906960655717591,0.04755057258285304,0.023620970549216098,0.5,-0.10031847133757965,0.04776748988109702,0.06866995978676925,-0.05612847784336591,0.1875852665134441,0.015179966836992105,0.6808732795443765,0.2300569530137631,581938096.585,11.95,2026-06-24,False,False,True,True
8,601168,西部矿业,铜,可买入,0.0,0.08010582983075339,0.24770015987900182,-0.1541785265228654,0.07087353786218026,-0.17468395397390257,0.4356874899774331,-0.13943196533275662,0.0788878111865503,0.08661673721914664,0.09302325581395343,0.04805276381909551,0.0635178634031297,-0.005957700327673621,0.9639639639639634,0.022213723427988663,0.007859259967492127,0.05841874167233563,-0.0010543616906306481,1.583930745763772,1.3987220779745382,1.387435191133228,0.17979744797300806,0.1704376907767668,4.0601,4.0601,0.0,0.03855907109964552,0.03674951004893797,0.017196000943301728,0.5,-0.1269841269841271,0.03261247662765441,0.05015307069955396,-0.03962871425641423,0.12210668696789029,0.07684494149082884,0.5206021863130876,0.3276736757558776,1862852189.65,29.2,2026-06-24,False,False,True,True
