ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
300036.SZ,20260507,2.2432,0.8,156.3222,2.867,756396.7571,673063.3877
000837.SZ,20260507,5.8024,2.25,238.1015,2.4013,1182756.5876,1164558.2576
688699.SH,20260507,23.9502,1.99,671.8438,5.8133,705954.601,705954.601
300413.SZ,20260507,3.1535,0.99,35.8359,1.5931,3754536.6757,2050551.8157
920855.BJ,20260507,1.7027,1.2,43.0746,2.0098,117032.3995,104979.8026
002324.SZ,20260507,3.8654,0.55,56.0493,3.6572,1715222.4944,1197017.5334
300004.SZ,20260507,4.2036,1.14,685.1331,3.6918,654231.2741,654231.2741
300756.SZ,20260507,2.6121,0.91,76.9953,5.6332,835270.3328,695506.8471
300915.SZ,20260507,6.4971,1.36,,2.0798,319505.9015,146092.2522
001318.SZ,20260507,2.2939,0.63,37.0978,2.5472,376503.12,376503.12
300373.SZ,20260507,6.8706,0.92,31.3037,4.3295,4290274.1262,4280724.4906
002303.SZ,20260507,2.9745,1.25,21.836,1.1761,528306.6713,333573.9647
603119.SH,20260507,13.6599,1.66,110.6536,15.2495,3216208.0903,1802702.3887
605117.SH,20260507,4.0824,1.0,38.4182,12.1373,14034638.4532,14034638.4532
688162.SH,20260507,3.2426,0.8,60.2921,1.8748,453529.3637,453529.3637
301276.SZ,20260507,9.1922,1.29,30.0052,1.5363,333720.0,186089.088
920204.BJ,20260507,11.4707,1.98,67.4793,3.2923,165003.6448,87483.8003
600595.SH,20260507,2.5043,0.84,14.4827,1.7832,3198308.281,3198308.281
603398.SH,20260507,0.3224,0.13,,83.1742,594956.1709,594956.1709
002588.SZ,20260507,3.8782,0.87,11.4491,1.5745,1244043.3384,927327.4956
002649.SZ,20260507,2.5523,1.0,143.3137,1.5179,631586.75,578725.7675
000672.SZ,20260507,5.0814,0.75,23.9054,1.551,1409500.9843,1409500.9843
688083.SH,20260507,4.7915,1.28,321.7124,3.704,978349.9007,978349.9007
000892.SZ,20260507,7.3771,0.79,,7.9559,480680.4318,348309.8625
600839.SH,20260507,2.6311,1.0,55.0058,2.6509,4080759.8922,4079623.4298
603063.SH,20260507,11.9574,1.2,48.8359,4.4606,2328415.0344,2328415.0344
688548.SH,20260507,8.5773,1.61,114.259,6.0189,3667927.8884,1921561.0256
000659.SZ,20260507,3.6996,1.41,,55.9166,514281.008,514281.008
300076.SZ,20260507,9.1974,0.91,,2.3285,195464.0,195464.0
600658.SH,20260507,2.3872,0.94,,1.43,579427.0533,579427.0533
002697.SZ,20260507,5.6086,1.71,14.8372,1.4042,692240.0,582978.1873
002376.SZ,20260507,2.1103,0.8,74.8715,1.5669,597384.5927,580117.3195
300661.SZ,20260507,7.4216,0.79,91.3765,10.2044,5582968.9445,5388268.3376
002515.SZ,20260507,15.0199,1.8,659.9925,3.4841,915224.308,832997.7865
300677.SZ,20260507,3.6074,1.1,51.3602,1.88,3430907.0981,2439813.1785
300058.SZ,20260507,21.9775,2.0,271.4463,8.6995,6929126.9681,6712405.4443
002032.SZ,20260507,1.2768,0.94,17.9761,5.6443,3784081.626,3782359.3055
002614.SZ,20260507,3.0257,0.77,,0.8181,353036.3895,249756.4773
002816.SZ,20260507,5.5802,1.49,230.893,10.011,238500.0,238500.0
000713.SZ,20260507,1.9908,0.78,85.3449,1.6332,510860.4634,392969.5872
600420.SH,20260507,0.9575,0.7,17.9921,0.929,1292890.4751,1292890.4751
301286.SZ,20260507,11.1475,1.15,96.5163,11.3351,2296574.0,925743.7445
600423.SH,20260507,2.353,0.3,,4.7585,252387.6282,252387.6282
600491.SH,20260507,0.0828,0.01,,0.3962,275356.4319,275356.4319
