ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
600187.SH,20250909,2.1868,1.09,237.0657,1.4942,476065.4254,476065.4254
002759.SZ,20250909,35.8651,3.61,,2.6924,842824.159,842083.6583
000716.SZ,20250909,6.1464,0.82,66.224,1.9438,493535.6553,484048.4957
603519.SH,20250909,1.7424,0.77,21.5957,2.9986,344095.568,344095.568
300925.SZ,20250909,3.3809,0.68,84.9046,4.5202,974884.1409,794867.861
300153.SZ,20250909,9.9987,0.72,277.463,12.7916,1145600.0,1139621.8224
688035.SH,20250909,4.6843,0.53,64.3316,3.0595,703092.32,439025.5055
301025.SZ,20250909,4.3309,0.78,436.5854,6.5629,405913.7316,281030.8504
002083.SZ,20250909,1.8901,0.87,12.4925,1.0282,464799.7549,464645.8264
301311.SZ,20250909,3.9215,0.85,505.403,2.6109,471600.0,171431.2512
600335.SH,20250909,4.1401,0.88,26.277,0.8155,937859.5099,937859.5099
301293.SZ,20250909,6.474,0.63,111.4744,5.1539,1205023.874,941532.2982
300537.SZ,20250909,6.0705,0.69,,5.4315,490215.583,339519.0491
300658.SZ,20250909,21.1583,3.54,98.6579,1.865,249573.0788,169135.5105
002733.SZ,20250909,11.2429,1.02,66.7458,2.8178,769966.6857,739200.969
688071.SH,20250909,3.8141,0.52,,3.0572,330764.7133,330764.7133
601665.SH,20250909,2.3977,1.05,6.5968,0.7441,3544613.2944,3544613.2944
300523.SZ,20250909,2.726,0.73,,4.3489,488539.0398,487952.766
603197.SH,20250909,6.5215,1.08,29.7021,2.6344,858336.2939,858336.2939
000977.SZ,20250909,4.7725,0.51,34.2617,4.1822,8542800.113,8533255.0426
300795.SZ,20250909,2.0129,0.61,36.3771,8.4429,472850.1023,274105.5464
600196.SH,20250909,5.5338,0.98,26.2022,1.8276,8507987.8295,6749505.3965
002329.SZ,20250909,3.8358,0.8,,3.393,317978.3223,248448.569
600757.SH,20250909,2.9585,0.94,9.5899,1.0841,1053448.437,1053315.4854
301598.SZ,20250909,5.1625,0.71,34.7026,3.9326,377590.0967,94397.5258
002949.SZ,20250909,5.6903,0.84,27.7208,1.9899,280145.0797,217038.1891
601816.SH,20250909,0.4436,0.62,20.412,1.2845,25979535.7455,25979535.7455
688329.SH,20250909,3.4236,0.89,,2.2104,168836.4,168836.4
603050.SH,20250909,1.4456,0.94,33.052,3.6666,650150.5391,650150.5391
603311.SH,20250909,2.0286,0.67,29.3184,1.9299,262774.6724,262774.6724
603355.SH,20250909,2.1238,0.76,12.3047,2.4731,1298936.4084,1293630.6912
000615.SZ,20250909,1.266,0.78,,,237286.6926,237137.5893
002420.SZ,20250909,8.5671,1.06,49.9537,4.8185,293399.5,284888.8247
300154.SZ,20250909,4.7631,0.99,27.2673,2.2382,390213.9145,273494.7791
600284.SH,20250909,4.4629,0.61,15.4015,1.0952,862557.584,862557.584
000651.SZ,20250909,1.607,0.91,7.1336,1.8641,23156211.3333,22799653.0726
300931.SZ,20250909,12.2181,1.03,,4.5144,277608.776,213831.6063
002809.SZ,20250909,4.5849,0.94,91.1779,1.6326,256459.5575,168596.9956
688103.SH,20250909,2.3795,0.56,125.5265,5.7393,643284.5525,643284.5525
600826.SH,20250909,15.5231,0.94,29.2315,1.9536,823062.0413,823062.0413
002182.SZ,20250909,4.6979,0.86,134.8899,2.6201,1402393.2559,1223834.6199
001209.SZ,20250909,4.3598,0.45,84.7334,1.9208,245684.441,179504.78
601200.SH,20250909,1.227,0.75,18.4159,0.963,1099870.1151,1099870.1151
300866.SZ,20250909,2.0474,0.71,29.9989,7.777,7227404.5154,4070604.9503
000729.SZ,20250909,2.3446,1.0,24.3352,2.2439,3407614.0633,3034114.4604
000538.SZ,20250909,1.5992,0.75,20.5413,2.6402,10668106.1033,10599536.0076
002134.SZ,20250909,3.8022,0.72,261.6748,10.4558,520709.8086,520386.7882
300727.SZ,20250909,17.3888,0.98,65.9753,5.8823,741053.4944,666509.7864
000993.SZ,20250909,3.241,0.75,25.889,1.8749,484054.6879,464813.1836
600315.SH,20250909,3.0256,0.88,,2.6513,1847949.219,1847949.219
301026.SZ,20250909,9.6701,1.69,38.9698,3.1326,482735.6604,340321.0313
000810.SZ,20250909,27.983,3.94,131.1439,2.5275,1607366.5752,1563743.3504
301078.SZ,20250909,4.0162,0.67,60.5404,3.4404,1480836.5296,1472436.7064
000066.SZ,20250909,6.048,0.89,,4.5641,5119343.1527,5119011.0729
300930.SZ,20250909,6.0034,1.03,61.219,3.414,306800.0,144579.5031
605060.SH,20250909,2.7984,0.44,32.3741,2.7387,643824.192,643824.192
300903.SZ,20250909,11.2595,1.12,,2.7103,482704.3072,382170.5247
002042.SZ,20250909,3.3654,0.66,,1.5006,860544.7656,860544.7656
002650.SZ,20250909,1.1566,1.12,,3.9794,754560.131,754535.5685
300289.SZ,20250909,5.3638,0.8,,2.6087,432489.1322,431809.4072
600566.SH,20250909,1.2039,0.93,12.4924,1.8143,2395559.0373,2382776.7123
601886.SH,20250909,1.5345,0.72,13.2122,1.1761,849751.545,849751.545
001234.SZ,20250909,21.1774,0.63,57.7976,3.0199,273534.25,228801.25
600529.SH,20250909,1.2247,0.67,17.6707,1.8158,1482513.9284,1482513.9284
300729.SZ,20250909,3.4061,0.84,16.8955,1.4207,514809.7572,482704.1319
601388.SH,20250909,5.6459,1.02,,1.3285,600933.7742,600933.7742
600449.SH,20250909,2.3026,0.83,21.7526,0.8791,640762.5963,640762.5963
920526.BJ,20250909,6.4044,0.85,149.6622,11.2589,249092.4,157730.8678
300264.SZ,20250909,10.8055,1.92,,136.7895,269285.9488,231518.0956
688456.SH,20250909,2.8048,0.96,75.6551,4.0426,497464.34,497464.34
300796.SZ,20250909,3.6694,1.03,,2.1726,374866.3011,374866.3011
688506.SH,20250909,2.9766,1.16,,51.8929,14524220.0,3726716.3664
605007.SH,20250909,2.375,0.78,23.2263,1.7274,583249.5329,491095.4396
601678.SH,20250909,2.3252,0.85,39.2087,0.7743,884439.5987,872829.5987
002235.SZ,20250909,8.276,1.36,250.9981,6.1195,460180.3935,439541.1718
002688.SZ,20250909,4.2758,0.67,36.51,2.3147,537057.541,521923.3474
300506.SZ,20250909,1.0563,0.89,,179.263,278934.2242,262073.3451
688129.SH,20250909,3.6774,1.4,32.7949,3.4141,304329.4488,304329.4488
300018.SZ,20250909,3.2126,0.79,38.8999,3.0067,399431.1461,369783.9826
001221.SZ,20250909,20.1825,1.85,36.3293,8.6381,2178854.47,190234.5468
601858.SH,20250909,5.14,0.51,34.9615,3.1459,1688508.0,1688508.0
001313.SZ,20250909,2.9349,0.6,,2.0864,539000.0,538326.9053
000702.SZ,20250909,4.4092,0.74,,7.4257,262741.7106,202109.0086
001387.SZ,20250909,2.9681,0.68,25.7921,2.051,252959.0688,157424.0802
301007.SZ,20250909,6.4063,0.95,126.7386,9.81,658901.98,657413.0695
300622.SZ,20250909,7.6516,0.95,71.3018,9.3717,764906.4151,522928.6283
002829.SZ,20250909,7.2138,0.6,,2.5456,423931.1638,297939.8458
300229.SZ,20250909,6.992,0.89,,4.5728,1853823.6177,1852570.1544
920455.BJ,20250909,3.311,0.55,76.8717,5.7798,191823.45,100298.5052
300360.SZ,20250909,2.9525,0.87,12.0221,1.9644,803160.2908,781432.107
601789.SH,20250909,3.0096,0.83,19.8727,1.2998,585784.44,585784.44
300115.SZ,20250909,6.5347,0.65,52.5743,4.1706,3387212.2181,3377446.5078
300859.SZ,20250909,21.2429,0.98,104.2652,9.8689,712845.0,712845.0
688551.SH,20250909,4.5296,0.68,87.901,2.6045,335778.4117,335778.4117
688380.SH,20250909,5.3372,0.64,68.2224,4.1271,1229921.28,519367.68
688722.SH,20250909,5.2002,0.68,28.6293,3.0876,428214.7302,427144.5112
601336.SH,20250909,2.7041,0.91,6.5943,2.5579,19746729.978,13200831.0222
601615.SH,20250909,2.513,0.66,98.5852,1.1108,2912058.7771,2912058.7771
000727.SZ,20250909,3.4799,0.61,,4.7318,1159569.1469,1159569.1469
600114.SH,20250909,5.5371,0.8,38.639,5.9149,1809545.0451,1766555.0451
002285.SZ,20250909,7.2317,1.62,,1.7527,496214.4305,491968.2803
002882.SZ,20250909,32.917,0.74,127.7724,7.5799,1574890.2,897629.7517
600611.SH,20250909,2.2348,0.78,81.8556,1.4126,1437386.7013,950496.3493
