ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
600230.SH,20250725,23.6599,0.73,382.8222,1.4957,596103.8616,596103.8616
301552.SZ,20250725,6.6111,0.75,25.1914,3.4177,380609.6,95152.4
688528.SH,20250725,3.7942,0.67,,3.6688,189168.0,189168.0
605028.SH,20250725,11.9473,1.44,18.3416,2.4424,312800.0,312800.0
600237.SH,20250725,3.3694,0.61,48.9805,2.5942,483753.9219,476825.6109
002465.SZ,20250725,3.0313,0.76,574.3529,2.5825,3228865.9663,3223731.1288
300732.SZ,20250725,30.5078,1.23,,1.0972,278911.2165,278558.2011
002428.SZ,20250725,11.4596,1.49,192.0318,9.9184,1436210.88,1436025.3394
600007.SH,20250725,1.3858,0.95,17.0875,2.3873,2114286.0389,2114286.0389
688701.SH,20250725,3.7119,0.94,,6.1408,122863.7954,122863.7954
000756.SZ,20250725,10.4676,1.09,26.7926,2.367,1179517.8749,842386.91
688118.SH,20250725,11.1496,1.14,134.9369,3.0202,246805.7437,246805.7437
300068.SZ,20250725,3.3436,0.8,,3.5976,1359632.345,1290519.1246
920491.BJ,20250725,2.1971,0.67,45.0552,4.1115,406774.6448,333087.3546
603829.SH,20250725,4.9502,0.57,20.7236,2.6692,281294.5369,281294.5369
002646.SZ,20250725,5.9802,0.67,3790.65,1.7099,492125.0365,485924.1461
003025.SZ,20250725,3.0299,0.99,21.261,3.4092,397251.0276,333659.8646
300552.SZ,20250725,3.5785,1.24,,3.2001,595493.9149,372709.0554
300801.SZ,20250725,5.7055,0.68,46.2944,2.0374,496054.53,310853.1742
601369.SH,20250725,1.5501,0.71,14.7074,1.7946,1551127.0428,1535216.3883
002518.SZ,20250725,4.1589,1.22,35.1698,3.1012,1340864.3915,1301650.7959
600597.SH,20250725,1.8664,0.93,17.4017,1.2412,1202029.1213,1202013.0765
603515.SH,20250725,0.8875,0.55,14.8724,2.2181,1373087.3505,1359310.9147
603105.SH,20250725,1.8437,0.81,22.5055,2.1661,427505.5737,427505.5737
603132.SH,20250725,5.4232,0.93,26.5872,4.2055,1302696.0,1302696.0
002913.SZ,20250725,6.0269,0.79,31.1384,2.5635,1102193.0304,921278.7994
600956.SH,20250725,1.7478,0.9,18.4888,1.4636,3318291.8346,1852641.9662
601818.SH,20250725,1.0859,1.03,5.7763,0.5059,24106904.8329,18933980.7489
600926.SH,20250725,1.263,0.97,6.3635,0.9607,11866617.1711,11866617.1711
002166.SZ,20250725,3.4334,1.02,36.6785,2.0172,612581.0317,369689.7968
920047.BJ,20250725,5.8938,1.75,,19.2562,622871.653,409021.6957
000529.SZ,20250725,2.0522,0.91,30.5749,1.1971,373042.0209,364156.1169
300559.SZ,20250725,4.6811,1.43,240.4351,4.1623,476620.8784,371186.2418
300247.SZ,20250725,2.5463,1.05,57.5399,2.9922,328048.4477,327736.3277
603038.SH,20250725,3.7983,1.33,144.3624,2.9311,396836.0856,396836.0856
002030.SZ,20250725,21.5464,3.63,,1.2579,997850.1288,997850.1288
600157.SH,20250725,5.2328,1.0,28.7727,0.7046,3294482.3859,3294482.3859
001208.SZ,20250725,17.7942,0.79,53.8681,3.9988,649325.16,328138.3876
002772.SZ,20250725,2.5403,0.92,22.9303,1.0028,324424.1212,321861.5111
603212.SH,20250725,4.4536,0.6,,1.92,507051.6471,507051.6471
920099.BJ,20250725,5.7605,1.88,22.5684,3.2366,269068.7931,135167.3741
002394.SZ,20250725,13.8063,0.41,12.5606,0.7701,319168.2,318759.6075
002723.SZ,20250725,4.6868,0.85,,2.4502,244547.2876,243860.1915
300050.SZ,20250725,3.4988,1.16,,7.8179,310017.7825,309828.7784
603819.SH,20250725,5.9604,1.36,,4.108,322893.8673,322893.8673
920656.BJ,20250725,16.9477,1.41,39.983,2.9231,188900.0,47225.2361
000612.SZ,20250725,3.4113,0.61,17.2777,1.6857,1052712.0649,1052023.9872
301101.SZ,20250725,8.9109,1.5,51.1861,5.755,930179.8536,881272.1796
605337.SH,20250725,5.8038,1.14,21.7178,3.214,506057.5852,506057.5852
300239.SZ,20250725,2.3958,1.07,45.1216,2.1251,356758.3677,354446.8316
601333.SH,20250725,1.7654,0.94,22.0141,0.7817,2160478.785,1723932.285
688678.SH,20250725,12.5524,1.51,129.9549,3.0009,539279.597,539279.597
301391.SZ,20250725,1.7467,0.64,1162.3666,2.0331,419870.4498,217930.4708
300583.SZ,20250725,4.3241,1.07,,1.9214,347723.997,341210.9814
300636.SZ,20250725,2.7955,1.32,41.4426,1.5103,347299.8864,303804.8047
002952.SZ,20250725,4.6174,1.05,255.1273,3.9995,344620.98,276898.4321
601969.SH,20250725,27.1275,3.27,27.4624,2.4428,1700972.1945,1683359.7283
000411.SZ,20250725,3.4411,1.07,11.2531,1.3089,584519.6101,361510.2904
603238.SH,20250725,7.2435,2.34,29.8398,2.2784,313835.912,313835.912
603386.SH,20250725,4.4385,1.06,,3.2431,440209.1334,440209.1334
300456.SZ,20250725,3.4433,1.22,,2.5952,1309197.0836,1061171.8815
000657.SZ,20250725,36.8441,2.09,39.6531,4.7215,4348244.957,2379865.8334
603395.SH,20250725,3.8684,0.66,95.7432,6.4605,888680.0,183192.8097
688027.SH,20250725,1.8192,1.18,,8.7677,2822711.5894,2205633.4615
603429.SH,20250725,4.578,1.11,,3.7526,465743.0929,465743.0929
300917.SZ,20250725,17.938,1.38,65.8143,7.1458,789061.0,789061.0
301266.SZ,20250725,5.1406,0.7,101.6443,2.1455,382487.3822,362859.7637
603883.SH,20250725,4.9877,0.88,32.5434,2.1553,1459383.577,1457069.2531
300517.SZ,20250725,4.2452,0.7,227.3668,2.2995,234479.1431,145105.5048
600638.SH,20250725,2.7989,0.79,26.4511,0.9009,412118.833,412118.833
300417.SZ,20250725,5.3516,1.6,115.0203,3.9235,178699.9296,115535.6521
002756.SZ,20250725,7.9591,1.19,26.5953,1.6583,2038882.0243,1470041.003
920245.BJ,20250725,15.8099,0.59,87.0934,5.0684,170752.02,130554.1254
688022.SH,20250725,2.9562,0.68,,3.9117,259948.1629,259948.1629
002404.SZ,20250725,2.0371,0.87,22.8897,1.975,370194.0686,301275.2705
600057.SH,20250725,1.2993,0.92,13.9189,1.293,2116002.7244,1653152.6916
000921.SZ,20250725,2.9546,1.0,10.6875,2.2546,3734237.2895,2474627.6751
002496.SZ,20250725,1.6712,0.96,,1.9298,259305.4244,203198.4881
601018.SH,20250725,1.8827,0.94,14.7412,0.9439,7295395.6496,5927781.5138
600749.SH,20250725,14.5302,1.16,159.7513,4.2325,437135.5857,437135.5857
002657.SZ,20250725,21.8424,1.2,,5.8543,1052460.9245,1041022.6371
001259.SZ,20250725,5.9661,1.17,3755.3516,2.7206,193759.5421,57738.7621
000981.SZ,20250725,4.092,0.84,,17.5618,2079473.9447,1978770.7197
301032.SZ,20250725,6.6303,0.67,39.4328,2.7678,321671.9556,213270.2819
000408.SZ,20250725,1.4372,0.91,26.427,5.1111,7394193.0332,7394115.3347
600117.SH,20250725,18.1587,3.81,,2.7926,1236943.6457,1236943.6457
000601.SZ,20250725,3.6105,0.58,81.8337,1.4305,579175.6946,579126.5879
600919.SH,20250725,1.0327,1.03,6.4042,0.882,20865455.9144,20865455.9144
300980.SZ,20250725,3.6397,0.82,116.6894,2.3091,318220.8424,226185.3304
605266.SH,20250725,4.2855,1.15,31.278,1.3511,342158.0426,342158.0426
603326.SH,20250725,5.5739,1.54,20.2752,2.6678,289174.2986,289174.2986
688236.SH,20250725,3.3066,1.96,67.1982,2.9854,859193.44,646078.72
002241.SZ,20250725,2.9458,0.62,30.1569,2.5047,8306271.7413,7337595.6314
300775.SZ,20250725,5.5124,0.89,43.5546,2.6794,1488759.4927,1445353.6105
300043.SZ,20250725,8.023,1.19,,4.0802,573575.4629,573271.71
603685.SH,20250725,3.6302,0.75,577.1929,2.232,248781.432,248781.432
688526.SH,20250725,2.8794,1.08,20.0037,2.0882,806867.6649,806867.6649
000301.SZ,20250725,0.513,0.64,,1.789,6022828.6843,6020392.1492
920002.BJ,20250725,8.6519,0.55,96.6445,8.6507,597681.4847,418454.3965
002164.SZ,20250725,5.423,0.6,90.4107,3.5435,492260.6623,443792.0767
301077.SZ,20250725,4.8271,0.45,24.2145,3.2618,366009.881,205306.4576
600548.SH,20250725,1.5412,0.93,22.7771,1.1696,2624143.2353,1482001.5171
600381.SH,20250725,1.4347,1.18,,2.3224,241869.0253,241869.0253
600602.SH,20250725,13.5858,1.26,173.9797,6.7832,3209929.5989,2521389.1175
002707.SZ,20250725,5.5033,1.03,79.4626,8.7576,769465.8708,646137.2572
000603.SZ,20250725,3.5659,0.52,27.4057,3.7619,1115680.4325,1078080.3525
301002.SZ,20250725,3.9763,0.75,,3.6183,272294.4259,162485.481
000042.SZ,20250725,2.2373,0.82,,1.5727,545826.3651,545251.7168
601069.SH,20250725,6.2917,0.57,61.8245,3.8376,1805600.2618,1355673.6503
002205.SZ,20250725,29.4773,1.45,,7.0719,247171.4932,247171.4932
301066.SZ,20250725,13.6402,1.96,93.4916,4.6548,312341.6279,312253.1075
301238.SZ,20250725,3.2834,0.74,202.0483,1.939,1376466.6041,1376466.6041
600980.SH,20250725,24.4862,1.32,42.5672,3.2665,455178.78,422503.6804
600252.SH,20250725,1.782,1.01,,1.5039,901229.9942,898220.2326
002136.SZ,20250725,4.4167,0.76,,2.0288,236091.96,235472.4245
300199.SZ,20250725,9.1449,0.76,,25.4594,1650778.057,1320043.1625
603080.SH,20250725,5.7745,1.67,15.5144,1.7199,257388.5,257388.5
002827.SZ,20250725,63.5674,4.46,95.0293,16.488,1489296.0,1489289.9295
688433.SH,20250725,3.405,0.68,337.2006,7.3717,1427639.8536,696653.591
603868.SH,20250725,3.0931,1.11,35.9399,5.5038,1648746.0,1648746.0
603506.SH,20250725,7.8989,1.86,82.7581,2.255,252936.6683,252936.6683
688358.SH,20250725,7.5337,0.98,26.9187,2.7227,367656.3568,367656.3568
605277.SH,20250725,23.7921,0.85,48.4969,5.2796,778637.7237,753871.668
605167.SH,20250725,3.1582,0.69,21.0209,2.7345,498916.77,498916.77
603650.SH,20250725,4.8476,1.6,37.6785,6.5189,2006523.1087,1995818.0397
920469.BJ,20250725,5.8082,0.55,89.5178,4.3752,203807.916,141634.3277
300804.SZ,20250725,27.0348,2.76,99.4603,2.5306,339364.0,126115.0
601696.SH,20250725,21.6196,1.14,42.6925,2.302,4203114.0,4203114.0
001356.SZ,20250725,6.7395,1.08,44.1271,4.4166,888694.56,188847.594
002582.SZ,20250725,2.8463,0.81,,1.3731,434328.1486,330650.3253
001298.SZ,20250725,7.1053,0.83,200.3706,5.4537,862308.5684,447616.4951
688510.SH,20250725,2.4745,0.56,47.0449,5.237,590662.6419,590662.6419
301528.SZ,20250725,3.2271,0.68,58.2304,2.3794,356544.0,183455.7466
301167.SZ,20250725,3.3511,0.58,71.3926,2.0355,191184.0,118688.3143
001286.SZ,20250725,2.6154,0.66,12.649,1.4233,3446250.0,964950.0
600203.SH,20250725,18.8861,3.08,,3.6979,597731.9867,597731.9867
600693.SH,20250725,7.698,1.03,113.2171,1.4569,514079.1314,513551.0942
002940.SZ,20250725,19.2317,1.31,170.7909,7.6261,1161752.6232,1067001.4145
000039.SZ,20250725,2.4567,0.74,13.0394,0.9473,4475791.9196,1910167.927
002508.SZ,20250725,1.6165,0.86,12.1927,1.6754,1852080.2754,1829761.5025
603020.SH,20250725,1.1724,0.59,22.673,1.1045,356411.1298,356411.1298
300515.SZ,20250725,5.3941,0.58,34.2207,6.7107,520147.376,455715.6459
688562.SH,20250725,2.1247,0.98,,4.3369,734000.0,317491.7
301338.SZ,20250725,10.3971,0.79,52.5501,3.3055,488482.4,157471.3
000911.SZ,20250725,9.645,0.64,106.2482,23.682,310247.859,310247.859
601555.SH,20250725,6.6094,1.71,17.8298,1.2522,5152544.842,5152544.842
002980.SZ,20250725,5.4449,0.96,27.7219,3.7669,388495.9426,206171.4002
600425.SH,20250725,7.0937,0.45,22.1053,1.1194,690022.594,592879.737
002606.SZ,20250725,4.777,0.61,19.0575,2.4328,420193.0715,403032.9466
920703.BJ,20250725,2.3177,0.6,19.3918,2.398,252462.7,127744.1212
002543.SZ,20250725,1.3924,1.07,13.1557,1.8548,882653.2,785332.2606
002642.SZ,20250725,5.9342,1.52,223.9964,4.5509,532572.152,532572.152
688123.SH,20250725,3.5979,0.85,35.2406,5.2643,1193458.2018,1193458.2018
688777.SH,20250725,1.9646,0.94,34.5957,3.8262,3776654.4299,3738592.4261
301339.SZ,20250725,6.1194,1.25,48.2343,3.8783,1023707.9765,296459.3729
603808.SH,20250725,2.3214,0.99,,1.2171,306347.0887,306347.0887
688280.SH,20250725,3.3837,0.75,,7.0347,442666.2503,390408.1088
600048.SH,20250725,2.5398,1.14,317.6062,0.5141,10031231.5843,10031231.5843
000881.SZ,20250725,2.8752,0.87,,1.4768,762958.6327,672824.0159
300335.SZ,20250725,7.6973,0.98,48.4167,1.5084,285253.408,229728.3761
300811.SZ,20250725,7.9555,0.84,43.8179,6.2383,1656157.1707,1318931.6327
