ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
300166.SZ,20250926,4.6265,0.95,,2.0388,1216180.4589,967370.4362
600571.SH,20250926,2.9253,0.74,98.517,6.8212,767093.6183,753001.5514
002091.SZ,20250926,2.333,0.73,12.4002,0.938,1437199.1885,1410373.0083
920914.BJ,20250926,4.0634,0.58,52.5062,3.8232,359600.0,359316.815
300321.SZ,20250926,5.4556,0.9,453.2895,5.5015,347208.0,346800.969
002861.SZ,20250926,4.5643,0.88,483.2753,2.9253,325996.9335,262794.6125
300668.SZ,20250926,2.0365,0.62,,2.7296,208981.8899,173068.5444
920058.BJ,20250926,5.642,0.54,34.1283,6.2608,208699.9131,102543.0315
920634.BJ,20250926,13.7806,0.89,85.4684,6.9408,190841.3694,119432.1408
688710.SH,20250926,2.4599,0.56,180.8262,2.8615,668102.3955,429798.6954
301305.SZ,20250926,2.7295,0.61,19.8169,1.3083,480285.3542,246313.4869
001260.SZ,20250926,3.5587,0.56,47.875,2.7828,225515.0,62261.75
603273.SH,20250926,3.27,0.7,122.4041,4.5941,403552.1322,105557.9672
688158.SH,20250926,6.7818,0.83,,5.0107,1184567.9903,1052610.2652
600241.SH,20250926,3.0795,0.72,172.1251,2.0709,242504.9428,242504.9428
601766.SH,20250926,0.7771,1.06,13.6127,1.2817,21007568.5124,17807948.1711
688420.SH,20250926,1.3237,0.59,128.8413,1.5333,220367.56,84999.628
300960.SZ,20250926,3.3373,0.59,73.2835,6.6304,394332.8435,357297.6635
688048.SH,20250926,6.4996,0.72,,4.2651,1276971.9071,769384.8271
601169.SH,20250926,1.0387,0.85,4.5011,0.43,11840071.1923,11840071.1923
001358.SZ,20250926,7.9482,1.75,55.2388,2.8028,396704.0,164143.7118
001896.SZ,20250926,3.6913,1.44,319.6832,2.433,788828.9476,788828.9476
603787.SH,20250926,4.0157,0.83,76.7815,1.8222,280084.9924,280084.9924
300323.SZ,20250926,2.8993,0.81,,2.0065,1374679.9811,744733.1065
601579.SH,20250926,3.5645,0.92,50.0433,2.7582,997283.8907,997283.8907
600476.SH,20250926,2.2672,0.68,183.9208,19.745,272691.51,272691.51
300492.SZ,20250926,2.8265,0.93,104.363,35.9555,1505986.8611,1505986.8611
600352.SH,20250926,0.6765,0.83,15.6027,0.9485,3207785.214,3207785.214
688230.SH,20250926,7.7609,1.28,82.7954,4.0846,907636.8,907636.8
600706.SH,20250926,17.6278,0.44,65.9459,4.2708,275719.6276,274606.63
300260.SZ,20250926,15.1685,0.55,85.8936,8.1692,1665890.5819,1174996.9203
301517.SZ,20250926,4.8918,0.76,787.5198,4.728,633382.1474,249049.3874
301193.SZ,20250926,4.551,0.98,,2.4008,370058.1137,261448.0289
300101.SZ,20250926,4.1916,1.42,249.2403,7.9762,1435665.6096,1430957.7531
000669.SZ,20250926,1.0751,0.75,,491.7873,214328.7711,214328.7711
605389.SH,20250926,7.1473,0.7,85.0414,3.9091,805446.7213,761731.1884
600477.SH,20250926,1.7457,0.69,46.0899,1.2504,630144.9959,630144.9959
000928.SZ,20250926,1.9875,0.76,10.522,1.0621,883741.0865,883730.2757
002969.SZ,20250926,3.5543,1.2,22.8948,1.4465,333452.5763,331471.8387
688337.SH,20250926,3.4422,0.59,71.947,2.3311,725754.9682,254684.9912
688091.SH,20250926,3.2683,1.09,1154.3233,8.3503,1208596.1831,1208596.1831
002662.SZ,20250926,7.583,0.96,22.5239,1.3638,588000.0,587992.5912
600482.SH,20250926,1.7463,1.4,26.7198,1.2343,4902227.3747,4902227.3747
603713.SH,20250926,2.874,1.53,16.481,2.2254,998731.1173,998731.1173
301210.SZ,20250926,15.6292,1.09,123.2865,3.29,600579.1102,227750.9303
300798.SZ,20250926,3.1862,0.86,,2.2425,379299.472,301596.8714
688538.SH,20250926,5.6183,1.23,,4.4007,4046165.2241,1685405.0674
002888.SZ,20250926,6.5755,0.76,132.5447,7.4619,282589.4906,143402.6603
301173.SZ,20250926,3.6901,0.69,27.9508,2.9748,420289.384,84973.0253
000791.SZ,20250926,3.0053,1.44,9.6772,1.5267,2111739.672,1260089.7827
002625.SZ,20250926,2.5747,0.97,153.6727,11.1521,10393731.8463,10393697.4753
600373.SH,20250926,1.756,0.56,32.7327,0.7855,1381180.1702,1360832.3062
300507.SZ,20250926,9.0021,0.4,58.7754,3.7187,776627.4998,751741.9956
605338.SH,20250926,1.9034,0.6,18.4388,2.4916,547170.256,547170.256
