ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
002501.SZ,20260427,4.4297,0.88,,21.5432,568000.0,567435.073
300540.SZ,20260427,24.0953,0.85,115.0067,6.1025,690972.9211,622248.884
603856.SH,20260427,9.6297,1.51,14.3185,1.2867,359621.4765,359621.4765
301090.SZ,20260427,11.5526,1.15,,1.9771,1304600.8234,1303238.0403
002152.SZ,20260427,1.9519,1.22,34.8524,2.3205,2950258.8828,2948774.851
002369.SZ,20260427,3.334,1.5,,13.2972,412177.2156,411638.6009
688109.SH,20260427,3.4826,1.12,237.9056,9.539,756649.5531,756649.5531
600679.SH,20260427,2.5976,1.17,,2.7406,586404.8645,391124.0645
603260.SH,20260427,2.3867,0.7,,1.789,5232447.9209,5232447.9209
300970.SZ,20260427,29.0575,1.15,21.0485,2.6372,460151.9523,355624.4434
601339.SH,20260427,2.5998,0.7,19.3808,1.3821,1271634.512,1271634.512
002019.SZ,20260427,1.6056,0.57,38.268,1.5301,1361140.5051,941983.6052
301633.SZ,20260427,1.3949,1.03,43.5645,3.802,347331.84,159135.3848
600439.SH,20260427,3.5199,1.79,,1.0913,287524.3018,287524.3018
002304.SZ,20260427,0.6888,0.92,35.9783,1.5333,7446358.0008,7446182.2771
300771.SZ,20260427,3.4077,1.16,40.8097,1.7033,337680.0,251252.3419
688639.SH,20260427,1.9267,0.75,56.7665,2.6061,700574.0561,700574.0561
920478.BJ,20260427,6.1013,0.73,25.5433,2.4724,128137.7636,76906.8274
002559.SZ,20260427,2.591,0.63,55.3183,3.2977,584400.2205,535757.3246
600421.SH,20260427,0.036,0.02,,143.424,88411.2,88411.2
002897.SZ,20260427,13.6262,0.96,79.8667,4.7119,1293959.7651,1217505.8716
300150.SZ,20260427,4.1598,1.41,77.7775,1.8823,296063.6628,234613.5954
603101.SH,20260427,18.4182,0.95,64.5382,3.6258,496272.0,496272.0
002095.SZ,20260427,2.0373,1.09,,4.6597,412691.76,411039.8417
301237.SZ,20260427,6.2208,0.5,,4.5696,525680.0,382760.75
600879.SH,20260427,6.0884,0.65,339.9953,3.6995,7717061.1422,7717061.1422
300461.SZ,20260427,9.8439,0.61,591.7001,16.748,929461.5033,850435.8749
603836.SH,20260427,7.3043,2.08,60.082,1.6478,286713.6261,286713.6261
300316.SZ,20260427,4.6127,0.97,63.8682,3.301,5650638.3341,5314161.6934
600808.SH,20260427,2.3655,0.87,,1.2478,3003265.6625,2327422.9625
605288.SH,20260427,5.6443,0.86,131.4942,2.6263,582911.003,579000.6262
301449.SZ,20260427,9.1571,0.74,49.8419,4.477,514108.7011,109678.2365
688391.SH,20260427,2.9189,1.49,83.5642,1.9268,358214.6516,358214.6516
002051.SZ,20260427,13.0989,0.59,48.4229,1.0876,1264631.9336,1264559.1468
301139.SZ,20260427,5.1749,0.86,158.6502,1.0796,210821.1072,132073.8346
688785.SH,20260427,7.496,1.28,178.4538,9.3343,2041138.1915,383726.3721
301218.SZ,20260427,5.5307,0.88,,4.3559,395376.68,242928.6544
920866.BJ,20260427,1.0866,0.72,42.1559,1.7558,135154.425,85584.2243
002484.SZ,20260427,8.9648,1.11,46.7639,4.9822,3201372.1139,3088257.6055
688051.SH,20260427,12.0484,1.51,,4.9968,299359.914,299359.914
601138.SH,20260427,7.3312,0.97,37.8204,8.0258,133451520.6099,133451520.6099
300813.SZ,20260427,8.0702,0.93,190.0464,3.8954,313299.9811,196592.0237
600238.SH,20260427,3.9356,1.94,,23.0967,234408.6,232877.0363
601975.SH,20260427,4.3809,0.72,15.4526,1.7415,2026589.2456,2026589.2456
300618.SZ,20260427,5.8419,0.86,52.2346,2.6023,1443807.8382,1270379.4196
002671.SZ,20260427,4.031,1.34,56.7143,1.6347,269222.1934,263325.419
000923.SZ,20260427,1.9791,0.92,22.6366,1.1601,1191230.3538,1145919.9711
002427.SZ,20260427,3.9758,1.07,228.3497,6.559,621808.0823,621349.1617
601799.SH,20260427,1.2566,0.62,21.8504,3.1134,3548709.7428,3548709.7428
300357.SZ,20260427,5.3118,1.35,32.239,5.0128,1372837.248,1268823.0455
002639.SZ,20260427,5.4666,0.51,335.7572,5.5705,1396092.1356,1175669.0859
688630.SH,20260427,8.2624,1.01,122.6835,16.0503,3556999.332,3556999.332
301591.SZ,20260427,4.114,1.18,55.6764,3.7051,340770.12,137484.4584
002947.SZ,20260427,12.0473,1.02,38.8418,6.6318,2066072.0855,1553396.8182
