rank,code,name,industry,score_100,short_score_100,leader_score_100,rps90_score_100,short_rank,leader_rank,rps_rank,rps20,rps90,trade_date
1,002281,光迅科技,通信设备,98.79032258064515,,100,97.58064516129032,,1,7,98.61197431116635,99.3163455562461,20260527
2,601939,建设银行,银行,91.647062777255,98.41040462427746,84.88372093023256,,23,14,,,,20260527
