rank,code,name,industry,buy_signal_flag,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,up_prob_3d,expected_ret_3d,up_prob_3d_confidence,up_prob_3d_logit,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,money_flow_bias_20_proxy,real_moneyflow_ok,money_flow_net_amount_1,money_flow_net_amount_3,money_flow_net_amount_5,money_flow_net_amount_20,main_money_flow_net_amount_1,main_money_flow_net_amount_3,main_money_flow_net_amount_5,main_money_flow_net_amount_20,money_flow_net_ratio_1,money_flow_net_ratio_3,money_flow_net_ratio_5,money_flow_net_ratio_20,main_money_flow_net_ratio_1,main_money_flow_net_ratio_3,main_money_flow_net_ratio_5,main_money_flow_net_ratio_20,real_money_flow_bias_20,main_money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,market_up_ratio,market_median_change,market_down5_ratio,pass_market_env,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup,upside_model_candidate,tail_model_candidate
11,603032,德新科技,专用机械,-,79.00904196041277,0.7900904196041277,1.6657280915470298,1.5021086524078326,1.5937355383257832,0.9444604769970528,-0.013540175591109843,1.3091274091628458,0.7900904196041277,0.01673234110797655,1.0,1.3254705256543486,0.06324110671936745,0.0700079554494828,0.1441939600170139,0.07986898076909221,0.09136422218635487,-0.008112094395280378,0.919720767888307,0.05363304275760772,0.04829387801263642,0.07089745027397432,0.005222421736863881,1.5530522808782823,1.3039601322631431,1.1922828900773206,-0.01793029953527768,0.08153297634771672,1,-19798100.0,-155775300.0,-185802700.0,-318651300.0,20158499.999999993,73666500.0,105602600.0,56605199.999999985,-0.020231124975871047,-0.044188510731341064,-0.033029837740524565,-0.01793029953527768,0.020599407661649166,0.02089684902414142,0.01877279901194934,0.003185137456694198,-0.01793029953527768,0.003185137456694198,0.7920773656938593,15.7265,15.7265,0.0,0.045692522621248816,0.04406736854112982,0.01602100701732175,0.45,-0.13306930693069308,0.04017189740639779,0.07191521352429767,-0.052869223853557745,0.06079211245561744,0.10506605578075678,0.5425165268708564,0.1897636416771431,445147776.1,25.94,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
12,002468,申通快递,仓储物流,-,78.40488857486329,0.784048885748633,1.874438114271323,0.8695043456276859,1.4322672560681227,1.1269198599496353,0.08968117208272804,1.0923258663501607,0.784048885748633,0.0005523028046046617,1.0,1.2894193135187444,0.04672897196261694,0.05967976710334799,0.0414878397711016,-0.03767349636483808,0.049634141945716026,-0.05022831050228305,0.7312252964426877,0.008254334426702092,0.0002667339509064169,-0.09303998169276528,-0.001178919616382292,1.470866963547547,1.138895584579419,1.1137346372227892,-0.024832026458671868,0.010701623991719924,1,47866800.0,-121953300.0,-165143800.0,-350403300.0,-27447800.00000003,134406599.99999997,148622999.99999997,77338599.99999997,0.02363965599852789,-0.0279393272744855,-0.02966596024360593,-0.024832026458671868,-0.013555461194740291,0.03079236056138589,0.026698210948793977,0.00548075363866904,-0.024832026458671868,0.00548075363866904,0.340198341825846,10.6656,10.6656,0.0,0.02643911053520418,0.0232186966930439,0.011890529121042232,0.5,-0.11314363143631434,0.02273309638039729,0.040364341339514276,-0.029785594364044085,0.15155022315093558,-0.09959986977106836,0.5357095269820122,0.3088518765267597,308827200.391,16.61,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
13,603444,吉比特,互联网,-,77.19682028355697,0.7719682028355698,1.3209765448504294,0.7711674323124703,1.0790605353337275,0.7792690685146036,1.3017118953400866,0.26591757247316616,0.7719682028355698,0.02316910574959587,1.0,1.2194582806615732,0.03601572436119804,0.1082526823536687,0.04994580660280645,0.04785850021926619,0.06962947046745938,-0.018027397260273914,0.8600000000000003,0.04387504178006996,0.030475576564962203,-0.07481916159726443,0.0031670280126616475,1.3303306962517678,1.5800169882137254,1.5088887647163407,-0.0023932168540840046,0.3073515917913558,1,-19749400.0,36220000.0,118940500.0,-60598799.99999997,30079600.0,40943400.0,86721200.00000003,99480200.00000004,-0.008529713089309327,0.00636182729384799,0.012386697704860996,-0.0023932168540840046,0.012991298866861213,0.007191464373907669,0.009031316406125684,0.003928752570804172,-0.0023932168540840046,0.003928752570804172,0.6022142144763413,7.3093,7.3093,0.0,0.023342283444655824,0.02109017332002223,0.011120843718448766,0.6,-0.05261153587017009,0.01960021935643136,0.03232272250930574,-0.024689220617581113,0.16274763923131808,0.13559088429703592,0.659485921889315,0.19742222082224936,573205958.6,364.98,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
14,002025,航天电器,元器件,-,77.06944569416557,0.7706944569416557,1.6689336958921241,0.8880731594997365,1.3253550598794737,0.8250567450168139,0.035797109266463026,-0.19093241805547667,0.7706944569416557,0.032798213238016266,1.0,1.2122366371215496,0.04026204449297133,0.13585737021570468,0.1569520340012145,0.24096385542168663,0.15589322040042602,0.0008716418363355349,0.9108818011257034,0.1008302590072021,0.07056514134262085,-0.06896331027682012,0.00710892512783298,1.589793125635919,1.3212975653590753,1.3660210743027779,0.0033486884030140135,0.2709697288923255,1,275335500.0,748810000.0,790133000.0,248445600.0,128213399.99999988,538232599.9999999,594002000.0,772985999.9999999,0.043673850271145856,0.04195721378370648,0.030485976403782575,0.0033486884030140135,0.020337271562709956,0.030158171316569185,0.0229185858023898,0.01041873655195419,0.0033486884030140135,0.01041873655195419,0.5011044344886475,14.0749,1.99,0.0,0.051152328952928455,0.048817053407822504,0.02298102803145808,0.6,-0.12118981004270357,0.04198558175031468,0.06900276506858864,-0.05279245507762426,0.272959151982761,0.2997892215148203,0.659485921889315,0.1577411096965665,1699786803.9459999,83.1,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
15,002739,儒意电影,影视音像,-,76.96824037447526,0.7696824037447526,2.2039416667910747,1.5179630097855346,1.902111057708637,0.9124755943992164,0.9634756035660652,-0.43204298387233964,0.7696824037447526,0.024647032705237597,1.0,1.2065187573867262,0.09839816933638446,0.13585737021570468,0.13475177304964525,0.022364217252396124,0.1145942180424937,0.0008716418363355349,0.9462534404758137,0.042377800998490534,0.023197492163009325,-0.07493197766003135,9.602550437391898e-05,1.8017785110000688,1.8734249248502313,1.697575370620786,-0.015943110720038085,0.3539463978338647,1,33072900.0,-2347100.0,65740200.0,-278161900.0,-30444900.0,-34799000.0,36167500.0,12812499.999999985,0.02135903770698835,-0.0005499881360405063,0.0090621767370523,-0.015943110720038085,-0.01966183089736581,-0.008154333921040252,0.004985629449520066,0.0007343604789170901,-0.015943110720038085,0.0007343604789170901,0.11552760395688176,5.4864,5.4864,0.0,0.031195085331056083,0.028201553645217113,0.016323581158618754,0.55,-0.12896174863387988,0.021286219785653412,0.03781901119521109,-0.027899336349476483,0.2899998317798852,0.05286817958872594,0.659485921889315,0.1046675479827663,391096776.38949996,9.59,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
16,300041,回天新材,化工原料,-,76.54697613742871,0.7654697613742871,1.3550144603974799,1.0850096229939206,1.2362123319399139,0.5192775809609116,0.25289033983504045,1.0331502341417471,0.7654697613742871,0.023821395033567117,1.0,1.1829051835839184,0.0332446808510638,0.08595387840670843,0.11637931034482762,0.10920770877944319,0.09563946921904454,-0.010792286092953907,0.9442212420522125,0.0612326669248251,0.054689976229273365,0.11664971866163554,0.007358400574557344,1.2471393456209607,1.366561232031303,1.2002910323029556,-0.003911558135090106,0.10139223289655275,1,199942000.0,152677600.0,110081600.0,-121121400.0,-39144900.0,-55407800.0,11578500.0,28195700.00000006,0.07475417715725277,0.023827487155186004,0.010440850341027095,-0.003911558135090106,-0.014635468232802235,-0.008647166596783778,0.001098179765497433,0.0009105667512888748,-0.003911558135090106,0.0009105667512888748,0.5282568474678604,15.80495,15.9327,0.0,0.03781523335439786,0.038967009314811375,0.02084830880985235,0.5,-0.07297687861271673,0.039097061015609814,0.058879661271435096,-0.04701010111793993,0.06454060217544488,0.16611546097268512,0.659485921889315,0.14609545967728133,724919650.009,15.68,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
17,600962,国投中鲁,软饮料,-,76.05259326480936,0.7605259326480936,1.973260525059616,1.8826498806659864,1.933391841526419,1.1349744757595495,0.31374011495051496,0.19017089388678493,0.7605259326480936,0.03534614311713048,1.0,1.155565077881184,0.11011493055194696,0.13585737021570468,0.17575993764614184,0.17575993764614184,0.15589322040042602,-0.05423197492163001,0.8067039106145255,0.08206710675364248,0.06408343424085002,0.09130048666121993,0.00871324046611192,2.156838222354013,1.949353406692593,1.9275260672234342,-0.019034585919685224,0.3927710396942624,1,-36650200.0,1004400.0,-104321400.0,-254587600.0,-14977000.000000015,-49646900.000000045,-92083200.00000001,-15512400.000000015,-0.028799277829635404,0.00019932211430039723,-0.012680756704276664,-0.019034585919685224,-0.011768742982424377,-0.009852374628096775,-0.01119314594849426,-0.0011598055467765332,-0.019034585919685224,-0.0011598055467765332,-0.04985374774966895,14.495080000000002,9.41597,0.1709426438144967,0.048161382328562076,0.04562797393178678,0.009419854390731081,0.5,-0.08584509729111023,0.036268885144498886,0.05500987979182229,-0.043765283003428246,0.22729331132950448,0.2499798865779157,0.659485921889315,0.08632774376718991,270131813.9,28.49,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
18,300019,硅宝科技,化工原料,-,75.7854172001202,0.7578541720012019,1.2564559300472207,0.3355392775374002,0.8512526029428997,0.5445140620265358,0.5975220484804095,-0.3800357770110005,0.7578541720012019,0.0034638750977778326,1.0,1.1409508422057129,0.08233957978421347,0.050137741046831996,0.05888888888888877,0.07744488411531925,0.07262444075522656,-0.008840353614144703,0.8971061093247588,0.03480683193111789,0.036337544669236534,-0.028554584958647933,0.006482764777951193,1.6747097773059356,1.5517173455605069,1.1999547032944453,-0.003262945993787851,0.4655751979520819,1,-7369500.0,10652800.0,59636500.0,-26892500.0,903500.0,-7399500.000000017,34736099.999999985,-9169400.000000017,-0.011919050409359014,0.0052819591800468395,0.019166699100484616,-0.003262945993787851,0.0014612744480434045,-0.003668881134796174,0.011163907617387732,-0.0011125502275890443,-0.003262945993787851,-0.0011125502275890443,0.7925518181917871,7.5577,7.5577,0.0,0.03146483494013698,0.03077191297738987,0.018525938918040098,0.6,-0.06776071995764965,0.031985170598912926,0.05233676354434967,-0.04012580777708762,0.024134349300082514,0.14912506082597474,0.6254472480986968,0.30396451660718526,183636652.99949998,19.39,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
19,603010,万盛股份,化工原料,-,75.31422097085982,0.7531422097085982,2.0224632062083043,1.3843930130543818,1.7417123212205785,0.7890608898127415,0.2808745563895814,-0.24384584292755873,0.7531422097085982,0.029192489150726433,1.0,1.1154416444698232,0.11011493055194696,0.13585737021570468,0.22174133736883128,0.24365133836650665,0.15589322040042602,-0.008210180623973606,0.9462534404758137,0.12472599585973154,0.09368866265691697,0.0497656798867101,0.01036940635879404,2.156838222354013,1.949353406692593,1.917469296265505,-0.00483306811270137,0.39841812145039507,1,-70790900.0,676000.0,-7214100.0,-67061500.0,-611300.0,-32245000.0,12592300.0,39702600.0,-0.08707837975506919,0.00019872610101829782,-0.0010547125038893263,-0.00483306811270137,-0.0007519471223599896,-0.009479176223868364,0.0018410136070647156,0.0028613342983878592,-0.00483306811270137,0.0028613342983878592,0.7309528991900585,7.7221,7.7221,0.0,0.041604919663288005,0.04046696335148759,0.014701638239480177,0.55,-0.08631910483097727,0.03224846867384075,0.06394293890773493,-0.04492625676739842,0.25291198600638487,0.3541004962282139,0.659485921889315,0.24092870976334954,316905529.9,17.82,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
20,002558,巨人网络,互联网,-,75.29682614896821,0.7529682614896821,1.061068816536592,0.7467142949025741,0.9227528270176242,1.0369735711223664,0.20113864456902864,1.7995930650026437,0.7529682614896821,0.00806129850162357,1.0,1.1145062531292254,-0.006130544536603,0.09408495434696307,0.1336898395721926,0.04592030360531307,0.08967262375454688,-0.038716428322288166,0.7877629063097509,0.0688755337656175,0.049944646528546466,-0.1271410850706045,0.004291529075733769,1.6939993415099417,1.949353406692593,1.8699012569744782,-0.0136665306635866,-0.25827922288574917,1,-157098000.0,-14536100.0,-43107800.0,-997975800.0,4020000.0,426563900.0,748918599.9999999,1483261599.9999998,-0.02410907470986331,-0.0007884830368772867,-0.0012757035685936884,-0.0136665306635866,0.0006169300712526609,0.0231381456714125,0.022162999053679126,0.02031215600470524,-0.0136665306635866,0.016898887191207898,0.48199403109866257,10.1176,10.1176,0.0,0.03877577054981547,0.033011128746077326,0.009957066511746077,0.3,-0.09112058937572698,0.027734096745626644,0.039799068502778506,-0.03256008544848739,0.13810772474544508,0.10405846967650535,0.597490059024542,0.3316766076421248,1597665222.3475003,27.71,2026-07-02,0.4290385873119686,-0.321,0.08589492042729453,False,False,False,True,False,True,True
