rank,code,name,industry,buy_signal_flag,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,industry_member_count,industry_ret_5,industry_ret_10,industry_ret_20,industry_breadth_5,industry_breadth_10,industry_trend_score,industry_heat,industry_up_prob_3d,up_prob_3d,expected_ret_3d,up_prob_3d_confidence,up_prob_3d_logit,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,money_flow_bias_20_proxy,real_moneyflow_ok,money_flow_net_amount_1,money_flow_net_amount_3,money_flow_net_amount_5,money_flow_net_amount_20,main_money_flow_net_amount_1,main_money_flow_net_amount_3,main_money_flow_net_amount_5,main_money_flow_net_amount_20,money_flow_net_ratio_1,money_flow_net_ratio_3,money_flow_net_ratio_5,money_flow_net_ratio_20,main_money_flow_net_ratio_1,main_money_flow_net_ratio_3,main_money_flow_net_ratio_5,main_money_flow_net_ratio_20,real_money_flow_bias_20,main_money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,market_up_ratio,market_median_change,market_down5_ratio,pass_market_env,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup,upside_model_candidate,tail_model_candidate
407,002174,游族网络,互联网,-,39.09549055059135,0.3909549055059135,0.5425201572501155,0.8635341376933054,0.6452446309919364,0.7877945823811063,0.2870169836813189,0.4256021972820729,28,-0.06371171557078603,-0.05006616511490469,-0.052145564665650346,0.25,0.21428571428571427,-0.47159370602195405,41.51131329160483,0.40627727724035245,0.3909549055059135,-0.022630819270112047,1.0,-0.44330008960959716,0.007194244604316502,0.0015898251192367763,-0.0007930214115781098,0.13615870153291243,0.025432349949135347,-0.0547636909227307,0.699588477366255,0.0037843336724314725,0.003947100712105911,0.0896876893743439,0.0016588776111183187,1.2505504103672829,1.2475845512793715,1.1752567663144098,-0.002285458869524,0.28127217603233207,1,-9999600.0,-82604600.0,-101460000.0,-55993899.99999999,56839400.0,28199299.99999997,-14303400.00000003,327306500.0,-0.006527458264047032,-0.018016717623220397,-0.0140946660899143,-0.002285458869524,0.037103165251957566,0.006150490714469635,-0.001987006179287213,0.013359411355127204,-0.002285458869524,0.013359411355127204,0.39811293130651065,7.8917,7.8917,0.0,0.039318617712950824,0.03648913759445981,0.01918336528330438,0.55,-0.07404520654715507,0.02945489210163535,0.05975591113131977,-0.04157529971350912,-0.13276544990330597,0.22228940907660127,0.38218324450585583,0.2574000888274774,612501706.7524999,12.6,2026-07-14,,,,True,False,False,True,False,True,True
408,002154,报喜鸟,服饰,-,39.086416515890605,0.39086416515890604,0.5039047173578095,-0.06421341167727468,0.3221069160665826,0.5815415382099218,0.3834162493477784,-0.6229995641782897,11,-0.015706806282722474,0.033200531208499307,-0.029029029029029152,0.36363636363636365,0.6363636363636364,0.33406632048256996,56.01319376868626,0.5159287271080837,0.39086416515890604,-0.03369883936006551,1.0,-0.44368119261391825,0.01621621621621605,-0.015706806282722474,0.05617977528089879,-0.06699751861042191,-0.004896122800053249,-0.07160493827160497,0.49056603773584845,-0.014953023686648415,-0.010612676988223102,-0.05580773011829088,-0.002123211960031132,1.0542175261530842,0.9735518853706747,0.9343885188958142,0.0024593368258544646,-0.0352341653890819,1,10303300.0,-5502000.0,-23209200.0,10043000.0,9179400.0,13907600.0,20958800.0,59177199.99999999,0.047866422053127716,-0.009226241631277329,-0.024330288605327415,0.0024593368258544646,0.04264507823653398,0.02332149729392086,0.021971186116769913,0.014491353899328369,0.0024593368258544646,0.014491353899328369,0.6435233385868805,3.1948,3.1948,0.0,0.02606663113749356,0.02511328677878525,0.014076530230246975,0.45,-0.101010101010101,0.02807515608353905,0.04040835224276682,-0.03300843454723016,0.03640237485871678,-0.16771733887931653,0.5107448107448116,0.31465201465201426,110578221.8362,3.76,2026-07-14,,,,True,False,False,True,False,True,True
409,600596,新安股份,化工原料,-,39.03799509778706,0.3903799509778706,0.2448624092074789,0.9013858983797023,0.4549499257425904,0.3466182871234139,-0.38161809724458967,0.04010113775365043,59,-0.08541572012721499,-0.10271722902358915,-0.021032504780114758,0.2542372881355932,0.3220338983050847,-0.6064790117862863,39.08337778784685,0.3885138571407005,0.3903799509778706,-0.03243062458087496,1.0,-0.44571539450439596,-0.06938775510204065,0.01526717557251911,0.05416116248348746,0.2036199095022626,0.03926547339849451,-0.132137030995106,0.5691489361702129,0.0968287991180603,0.08466496513116567,0.1580283586763911,0.011790561639112827,1.1127988817759933,1.2999185264444133,1.2454375114843697,-0.024427176746427186,0.028423382918381437,1,7223099.999999999,-387578100.0,-384001900.0,-1438832900.0,9416700.0,-8720000.0,-7796600.000000015,158683199.9999998,0.0065791373279125796,-0.07166250996925105,-0.043685305042566396,-0.024427176746427186,0.008577170809729119,-0.0016123126846740545,-0.000886966573068711,0.0026939768843822305,-0.024427176746427186,0.0026939768843822305,0.7730699501945303,5.1163,5.1163,0.0,0.05777176720066683,0.054513223073675024,0.029503087975661233,0.5,-0.10337078651685394,0.0502456034684192,0.07656258519286913,-0.06077239615819917,-0.17025318641843112,0.23843811232925305,0.4608912994330538,0.36457777319465023,1593499539.8,11.53,2026-07-14,,,,True,False,False,True,False,True,True
410,301172,君逸数码,软件服务,-,38.88411605667851,0.3888411605667851,-0.08999826124152419,-0.5592868759778038,-0.24017061795713368,0.4087862744934412,0.0518500907688427,0.17664665485221231,38,0.011801852990906192,-0.031996596106797115,-0.056244890625701816,0.5526315789473685,0.3684210526315789,0.1529286803994811,52.75271624719066,0.4910286564857694,0.3888411605667851,-0.0141271367669149,1.0,-0.45218595908712006,-0.09622238061297217,0.03005686433793664,-0.022736030828516385,-0.18951741770533714,-0.07975905363233904,-0.21119751166407463,0.2195402298850575,-0.05762392045866882,-0.058160969591407104,-0.11396664809019574,-0.012594080454783845,0.9866432400004711,1.32994041403617,1.2645953912915875,0.0010382169374988461,-0.1241129189304451,1,3325400.0,-4969200.0,28062500.0,6342900.0,3650999.999999999,15748000.0,29644400.0,-33129100.0,0.011033515289783231,-0.004077212017978723,0.01452897640934307,0.0010382169374988461,0.012113840236662827,0.012921181449555045,0.015347983546338697,-0.005422628883333021,0.0010382169374988461,-0.005422628883333021,0.8971617113753053,7.7701,7.7701,0.0,0.0576662967211636,0.04607800750678887,0.019327637621812124,0.4,-0.23891857906318759,0.026951653516295106,0.057201309175716156,-0.03905151578006353,0.24322401039098873,-0.304344542994149,0.46035448653265976,0.11105049621591767,152735410.01500002,25.36,2026-07-14,,,,True,False,False,False,False,True,True
411,300497,富祥药业,化学制药,-,38.70665404959277,0.3870665404959277,-0.7491824688494277,1.636650849537069,0.014284193034251214,-0.11127984028831812,-0.1440898343274088,0.24485738378932903,48,0.01703426108868078,0.06864511823035846,0.055193300925195254,0.6041666666666666,0.8125,0.992131279403399,67.85836302926118,0.604839758506589,0.3870665404959277,-0.018781612295989944,1.0,-0.45965976359546834,-0.015111111111111075,-0.008944543828264706,0.27429557216791256,0.43828806108664986,0.2009634616476474,-0.07357859531772581,0.8020247469066365,0.15557471957653435,0.13255682235267147,0.018668447263723076,0.019918299349157922,1.3877665555457332,1.5473961142366146,1.7113540899619903,0.0010370930467482181,0.4518752295506,1,-995600.0,-78131700.0,-66446600.0,55939000.0,27688800.0,-21961100.000000007,-191841400.0,-1180465300.0,-0.0011002589410129256,-0.022999719935268958,-0.010164652544914077,0.0010370930467482181,0.03059948751096695,-0.006464714699288961,-0.0293468917104845,-0.02188548873876096,0.0010370930467482181,-0.02188548873876096,0.49344754287818227,6.3342,6.3342,0.0,0.044768567061748143,0.043414347020578475,0.02601927122024239,0.65,-0.08177777777777773,0.041170585547064625,0.06950820644432919,-0.05250563390597045,-0.4618360318074719,0.5283997567527132,0.5243516565144277,0.29200687975995687,1017819610.9320002,17.49,2026-07-14,,,,True,False,False,False,False,True,True
412,301122,采纳股份,医疗保健,-,38.70287065187913,0.3870287065187913,-0.5690540228189133,0.3491374851843969,-0.27523274025785405,0.051564215224523896,0.42680260399610026,-0.03974661665725154,32,0.020196091349580447,0.030177156783720016,0.00218405915587927,0.6875,0.71875,0.7639449458093531,63.751009024568354,0.5744840057997358,0.3870287065187913,-0.007154540158765429,1.0,-0.4598192379521612,0.013513513513513598,-0.010152284263959421,-0.00544032641958514,0.2056883759274526,0.03132768012975329,-0.09972299168975074,0.650107991360691,0.007563069654284993,0.022061597588279948,-0.02937036793911485,0.007147516376576886,1.0537778870187726,1.003167013992432,0.8689401948908086,-0.004312232201529285,0.5752839129684585,1,-5253400.0,-9371000.0,-12183700.0,-17417500.0,268100.0,-5479200.0,-5239500.0,6658100.000000002,-0.024685266841842125,-0.015418347092643683,-0.013885632859796217,-0.004312232201529285,0.0012597784368785687,-0.009015068550849778,-0.005971402231580085,0.001648415284685066,-0.004312232201529285,0.001648415284685066,0.32459750296657275,8.4487,8.4487,0.0,0.030427780164652023,0.03184098790677334,0.012763235830132941,0.65,-0.10888252148997135,0.03081762112385885,0.06950631502363293,-0.04629309868376848,-0.22820669481630884,0.3586708825312491,0.5166871493163366,0.16400250585607684,110578221.8362,29.25,2026-07-14,,,,True,False,False,False,False,True,True
413,600085,同仁堂,中成药,-,38.48114360271707,0.38481143602717066,-0.2956877990826888,-0.9287804309908988,-0.49827744129331597,0.27355283899686256,0.27817767269607824,-0.35484744808725294,25,0.03991446899501083,0.07713498622589543,0.02013808975834297,0.72,0.68,1.0347953283356253,68.62631591004126,0.610434130781061,0.38481143602717066,-0.030117721850458197,1.0,-0.46917539114249807,0.026143790849673332,0.0,-0.05611222444889774,-0.08187134502923965,-0.0292862884112034,-0.10693970420932875,0.37583892617449666,-0.04882422044063395,-0.040893633684384104,-0.07486240164736702,-0.006110678687609606,2.129850125956734,1.4354371854293837,1.3449233377804297,-0.0005673237043205196,-0.16826588999289593,1,27941200.0,53043500.0,69786000.0,-5615800.000000007,741600.0000000037,36995700.0,28521599.999999993,-58677100.0,0.03185124987987898,0.020585968242961113,0.0208729197032065,-0.0005673237043205196,0.0008453783985984271,0.014357881838983408,0.008530780767015939,-0.005927723517715288,-0.0005673237043205196,-0.005927723517715288,0.8308071317813954,2.7233,2.7233,0.0,0.02157378246493461,0.018581897776339652,0.007597774262690655,0.35,-0.14016897081413204,0.013742234332262843,0.023944708038953506,-0.019312168912749537,0.08187134502923965,-0.27390648407402696,0.36265813788201784,0.3494065387348978,192617740.3,24.75,2026-07-14,,,,True,False,False,False,False,True,True
414,002422,科伦药业,化学制药,-,38.46534560432765,0.3846534560432765,0.8008712307196627,1.6409080406373384,1.069683009893319,0.5675194875734875,-0.7996794645735367,0.47679738253317566,48,0.01703426108868078,0.06864511823035846,0.055193300925195254,0.6041666666666666,0.8125,0.992131279403399,67.85836302926118,0.604839758506589,0.3846534560432765,-0.026162784001322766,1.0,-0.4698427804478703,0.12369673805334798,0.11213024535656957,0.25908618899273095,0.32913126884077815,0.18584806474485904,-0.08109132247063289,0.7648351648351648,0.08584561969730298,0.08972835521650882,0.12617464548500257,0.015689116431510067,1.7868735883143965,1.5541699025565359,1.405491204777882,0.008280584850696136,0.2883340308797931,1,245605700.0,492656700.0,415522300.0,546925600.0,162456800.0,391444500.0,394864700.0,262852600.0,0.041620507697064844,0.031995389817007044,0.01790436651352181,0.008280584850696136,0.02753003898053068,0.0254222044868636,0.017014254859611232,0.0039796514508117576,0.008280584850696136,0.0039796514508117576,0.5976221870445414,5.8567,5.8567,0.0,0.053632589092656294,0.04701539815794281,0.02713989461256064,0.6,-0.1250521050437683,0.049363216131202814,0.07991870633049337,-0.06158541221091904,-0.08299170586294258,0.4368582053690556,0.4657642528021969,0.3772109538093729,1651228775.5360003,48.5,2026-07-14,,,,True,False,False,True,False,True,True
415,603906,龙蟠科技,电气设备,-,38.403233828104575,0.38403233828104577,0.16378960307150858,0.9375149567376466,0.4113817162446728,0.7211339634715573,0.18881956331383107,0.5362363442441938,63,-0.06721049831530412,-0.11678832116788318,-0.1055082704352015,0.15873015873015872,0.14285714285714285,-0.895229565455553,33.88586782180005,0.3515173314062201,0.38403233828104577,-0.04033957830761098,1.0,-0.47246770163054236,-0.11752577319587632,-0.01909854851031323,0.05592105263157898,0.017432646592709933,0.024045938509390963,-0.12354948805460753,0.4531722054380664,0.08792917813135537,0.06979303744467033,-0.04794988610478357,0.0069692115202469465,0.9757628472516962,1.3054550671617473,1.6697335042132746,-0.012428463523905545,0.14829745495206756,1,-70509600.0,-278900500.0,-212993100.0,-686446700.0,-9415200.0,-1049300.0,-163722600.0,-2287599.99999997,-0.04782357416470543,-0.043678408218203846,-0.0208727050954501,-0.012428463523905545,-0.006385917881757017,-0.00016433012398099427,-0.0160443392169058,-4.141815112125377e-05,-0.012428463523905545,-4.141815112125377e-05,0.63556261762894,11.0273,11.0273,0.0,0.054535597503111655,0.042764875735813335,0.021202073103853157,0.5,-0.11752577319587632,0.03883026918489821,0.05424082699099924,-0.044994492307338624,-0.05634102077655734,0.025724821481963676,0.5304901656817789,0.31716326392110894,1028759795.3,20.81,2026-07-14,,,,True,False,False,True,False,True,True
416,601059,信达证券,证券,-,38.375075802971104,0.38375075802971104,0.3287516366211781,0.05283656624212403,0.24045881409988085,-0.049781665827725446,1.2380824332280689,-0.710793874479169,37,-0.007306889352818424,0.01490066225165565,0.019553072625698276,0.3783783783783784,0.6486486486486487,0.4363107402768022,57.85359332498244,0.5299568046671653,0.38375075802971104,-0.008608609067322054,1.0,-0.4736582210664684,-0.016081000595592587,-0.0030175015087507973,0.020382952439777613,0.0685640362225095,0.016240157480315043,-0.02132701421800942,0.7791411042944787,0.01919291338582707,0.019857283464567256,-0.017437819214845218,0.003591039606891232,0.6819062601257854,0.7747683596181729,0.7423957869148008,0.016981841452327565,0.08127674547000935,1,21781100.0,47612200.0,60415900.0,173814900.0,-11553600.0,-43973700.0,-43193400.0,-27515700.0,0.09063992382968877,0.05814055296303465,0.04619601038800247,0.024670734254217532,-0.04807917983750556,-0.053697481608297806,-0.033027112980078856,-0.003905490970674973,0.024670734254217532,-0.003905490970674973,0.5716516308489963,1.24326,1.2808000000000002,0.0,0.014982294770125705,0.018061809606635226,0.006286124020642704,0.5,-0.025014889815366148,0.019731306663052228,0.03132782165306566,-0.0243699126590576,-0.07481569038326574,0.24074349028493194,0.6105155038759693,0.11865116279069814,176127233.35,16.52,2026-07-14,,,,True,False,False,True,False,True,True
