rank,code,name,industry,buy_signal_flag,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,industry_member_count,industry_ret_5,industry_ret_10,industry_ret_20,industry_breadth_5,industry_breadth_10,industry_trend_score,industry_heat,industry_up_prob_3d,up_prob_3d,expected_ret_3d,up_prob_3d_confidence,up_prob_3d_logit,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,money_flow_bias_20_proxy,real_moneyflow_ok,money_flow_net_amount_1,money_flow_net_amount_3,money_flow_net_amount_5,money_flow_net_amount_20,main_money_flow_net_amount_1,main_money_flow_net_amount_3,main_money_flow_net_amount_5,main_money_flow_net_amount_20,money_flow_net_ratio_1,money_flow_net_ratio_3,money_flow_net_ratio_5,money_flow_net_ratio_20,main_money_flow_net_ratio_1,main_money_flow_net_ratio_3,main_money_flow_net_ratio_5,main_money_flow_net_ratio_20,real_money_flow_bias_20,main_money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,market_up_ratio,market_median_change,market_down5_ratio,pass_market_env,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup,upside_model_candidate,tail_model_candidate
1,600025,华能水电,水力发电,-,84.87911548453307,0.8487911548453307,0.7769269667355804,1.1205211009998137,0.8868770897001351,0.9437690337597912,0.8686531586172035,-0.3862789845070598,13,0.010398613518197708,0.04107142857142865,-0.09974587039390093,0.6153846153846154,0.5384615384615384,0.3980744861510725,57.1653407507193,0.5247150831566275,0.8487911548453307,0.021211220775266944,1.0,1.7251512047348911,0.02187500000000009,0.06054054054054059,0.10348706411698538,0.01763485477178417,0.054611911416899694,-0.0030487804878047697,0.8914728682170552,0.03913136959793606,0.028208987314556122,-0.025237088914892403,0.0020449963869035984,1.4239629373566118,1.3607147727304971,1.2901545515823816,0.005769520768834495,0.29623130505174017,1,12335300.0,158341900.0,317082900.0,71985200.0,-19731100.0,-73755400.0,-141133900.0,-83102700.0,0.013884899180186152,0.06216920980600133,0.0569241287601823,0.005769520768834495,-0.022209782835777885,-0.028958317014798677,-0.03506598611099344,-0.006660574029053506,0.005769520768834495,-0.006660574029053506,0.7618694471992319,2.1684,2.1684,0.0,0.008075397529011631,0.01376791893877267,0.007983658490560376,0.6,-0.06813417190775672,0.01291348171557697,0.02629471275162949,-0.019312168912749537,0.10099697207581038,0.07895167230990606,0.7560558787567919,0.24321553508959867,311885946.15,9.81,2026-07-14,,,,True,False,False,True,False,True,True
2,600886,国投电力,水力发电,-,83.18017764660945,0.8318017764660945,0.8410627330868218,1.1593396407421144,0.9429113435365155,0.7760723021543388,1.0426714487385764,-0.3048789305728518,13,0.010398613518197708,0.04107142857142865,-0.09974587039390093,0.6153846153846154,0.5384615384615384,0.3980744861510725,57.1653407507193,0.5247150831566275,0.8318017764660945,0.02933868674384911,1.0,1.598450977142014,0.036416605972323435,0.057992565055762224,0.06912096168294513,0.03190717911530094,0.05885854602276974,0.014511249388979058,0.972483481324217,0.02879678547511011,0.023349951633306353,-0.010492213673011341,0.0028387808571954183,1.3118807879928416,1.1550833723838958,1.0797259755591238,-0.006810046903678419,0.19474298928155892,1,127108100.0,203861000.0,366346500.0,-133922500.0,-39738199.999999985,-35353299.999999985,-123602099.99999999,73447700.00000001,0.0985432575394549,0.05982839612085218,0.0569241287601823,-0.006810046903678419,-0.03080788460180245,-0.010375359860784174,-0.02328171260080565,0.003734863685842943,-0.006810046903678419,0.003734863685842943,0.7530539918006307,1.9666,1.9666,0.0,0.009515547738051066,0.01287436002529374,0.00584844856740561,0.55,-0.0427413411938099,0.01232256891082731,0.02544039209728483,-0.019312168912749537,0.08264811255394933,0.14383481089386818,0.7560558787567919,0.1799447051547865,491599514.15,14.23,2026-07-14,,,,True,False,False,True,False,True,True
3,600028,中国石化,石油加工,-,81.57027809187753,0.8157027809187752,1.0915580822946296,0.47000739913849304,0.8926618636846659,0.9523614220647627,1.1099557514083587,-0.21934422060032152,2,-0.01307870370370362,0.00507781587971512,-0.08480777344162005,0.5,0.5,0.08039892706185309,51.44718068711335,0.4810639136223085,0.8157027809187752,0.01703114687076342,1.0,1.4875002740681031,0.04573804573804585,0.04791666666666683,0.12780269058295968,0.008016032064128265,0.06342494714587743,-0.003960396039603853,0.972483481324217,0.027906976744185963,0.020718816067653245,-0.052230830884317125,0.0012907533103371312,1.6694807244548533,1.2950674138537168,1.128782778362071,0.007131065815824103,-0.018561204107100396,1,488380199.99999994,899627600.0,969669900.0,362481399.99999994,-56912700.0,-124604499.99999999,-108932099.99999999,-121967300.00000004,0.1150763126612568,0.09108450576568697,0.0569241287601823,0.007131065815824103,-0.013410256311775766,-0.012615819366458456,-0.0075924982015821325,-0.0023994523406673106,0.007131065815824103,-0.0023994523406673106,0.6187823490022902,3.0615,3.0615,0.0,0.013768992221700898,0.019125489062716713,0.010218677911883576,0.45,-0.10261569416498995,0.01913352466868764,0.029141755127999918,-0.02313681685241255,0.08599281897127609,0.023935761355828755,0.7365800865800876,0.22341991341991174,1270599055.1,5.03,2026-07-14,,,,True,False,False,True,False,True,True
4,600900,长江电力,水力发电,-,80.81762353841499,0.80817623538415,0.6171282102127919,1.2333063877697703,0.8143052270310249,0.8442911751601506,0.9328327987601648,1.5177749436964394,13,0.010398613518197708,0.04107142857142865,-0.09974587039390093,0.6153846153846154,0.5384615384615384,0.3980744861510725,57.1653407507193,0.5247150831566275,0.80817623538415,0.020161539783693404,1.0,1.438203089956483,0.028087864602088564,0.041590660342940566,0.07857952398942203,0.035545883206383744,0.051023413341187096,0.002457865168539408,0.9302325581395351,0.03519363863937586,0.027300839346193716,-0.00031281626644608096,0.003002093660007767,1.3001310549003444,1.3684048963720428,1.2685555030867122,0.0023655313080023204,0.27706077640678056,1,582319500.0,1802740600.0,1993967200.0,329761500.0,-334835400.0,-635466700.0000001,-779084200.0000001,-460711500.0,0.06424694068531152,0.06298979296227647,0.0450929420738772,0.0023655313080023204,-0.03694217707485763,-0.02220392432911372,-0.017618744531641726,-0.0033048960451923922,0.0023655313080023204,-0.0033048960451923922,0.8506107352321631,1.3825,1.3825,0.0,0.004958561065564752,0.010219537030250822,0.004708355529555322,0.6,-0.035674880470761394,0.010361169050430179,0.01658400081776931,-0.019312168912749537,0.04739406984602368,0.18859341018957673,0.7560558787567919,0.2426043237807952,3484576530.9,28.55,2026-07-14,,,,True,False,False,True,False,True,True
5,600572,康恩贝,中成药,-,80.63785877581256,0.8063785877581255,0.28864780571583226,0.19344078591732053,0.2581815593803085,0.2032442912461831,0.9218290508560196,-0.3311788407531885,25,0.03991446899501083,0.07713498622589543,0.02013808975834297,0.72,0.68,1.0347953283356253,68.62631591004126,0.610434130781061,0.8063785877581255,0.01545122979866138,1.0,1.4266485749356552,0.04422604422604426,0.04166666666666674,0.08418367346938771,0.02409638554216853,0.043841413536861884,0.002358490566037652,0.923076923076923,0.02173653654431651,0.017315561145807522,-0.041210456956482844,0.001401649832130569,1.945243898716475,1.6166100110172816,1.376268657076732,0.016981841452327565,0.21273107648879427,1,43898200.0,119718000.0,125652300.0,144734000.0,-15424600.0,-32995600.0,-26261300.0,-70733200.0,0.07079580652309311,0.07744718630810238,0.0569241287601823,0.022704893331678844,-0.02487566682224105,-0.0213452979547572,-0.011973121535985178,-0.011096147145855887,0.022704893331678844,-0.011096147145855887,0.32805028941952646,4.2071,4.2071,0.0,0.014120458073296234,0.015667576380519518,0.00699402364613303,0.55,-0.060532687651331685,0.014655753188134078,0.027625331078053768,-0.019843584344101953,0.05853413654618489,0.08710705568941211,0.6820512820512834,0.2410256410256398,159355129.3,4.25,2026-07-14,,,,True,False,False,True,False,True,True
6,600621,华鑫股份,证券,-,80.44920907715996,0.8044920907715997,1.7727686564371075,0.4262381710977159,1.3418789011285024,0.8575960800929403,0.704548346126208,0.5435906704805806,37,-0.007306889352818424,0.01490066225165565,0.019553072625698276,0.3783783783783784,0.6486486486486487,0.4363107402768022,57.85359332498244,0.5299568046671653,0.8044920907715997,0.024363178611661956,1.0,1.4146103001309693,0.011636363636363667,0.06753645433614741,0.07662538699690402,0.08671874999999996,0.04811061296763741,-0.003581661891117527,0.9624060150375935,0.028067663790829922,0.021436913687224557,-0.018561656498428558,0.0022939086781868,1.3394188402033538,1.3751362781439913,1.3709585618677709,0.0028959743266486933,0.45208057271799734,1,-5339600.0,718000.0,97355600.0,26318499.99999999,-3102899.9999999944,-6190399.999999994,-26686499.999999993,-22535800.0,-0.008771452860176018,0.0003829618052670156,0.03125192002870581,0.0028959743266486933,-0.005097187257442527,-0.0033017921439065893,-0.008566578233260926,-0.0024797423192997187,0.0028959743266486933,-0.0024797423192997187,0.5352782607000743,4.6548,4.6548,0.0,0.022617954685539843,0.024981571035310807,0.010940939863025499,0.65,-0.05232129697862942,0.025685350397160144,0.03664860748206237,-0.030070653231121035,0.049567704336147544,0.20699101142579696,0.7287236962880991,0.18409681653241383,227183913.55,13.91,2026-07-14,,,,True,False,False,True,False,True,True
7,601857,中国石油,石油开采,-,80.12442037331388,0.8012442037331388,1.2086435790878496,1.039605309937188,1.154551332959638,1.0157688848741042,0.6069709013125701,-0.027216709491375224,5,-0.03891050583657574,-0.08087922790710178,-0.1470762918251497,0.4,0.4,-0.36732889775816,43.38807984035312,0.42018088336978127,0.8012442037331388,0.01235098667429061,1.0,1.3940888574622698,0.06382978723404253,0.09529025191675777,0.15207373271889413,0.015180134327633432,0.0845604342635844,-0.006398573841649435,0.972483481324217,0.032284621332079544,0.01992063238147472,-0.11316333995410699,0.00028730152414464214,1.9864788662070783,1.4809188161931126,1.3874124481773988,0.012717866123536882,0.31685393709859133,1,545533200.0,963933200.0,1338247900.0,829387000.0,-38454800.0,-26721200.0,-150210499.99999994,-160736799.99999982,0.0842215281980986,0.06653273058784802,0.0569241287601823,0.012717866123536882,-0.0059368009546481165,-0.00184435436043079,-0.006640207862702263,-0.0024647469800294923,0.012717866123536882,-0.0024647469800294923,0.7059390041042124,2.8893,1.453525,0.0,0.014815050400353247,0.022746547851116163,0.016152825310577754,0.6,-0.10330578512396693,0.02063470732509391,0.028593151499334814,-0.023818084994790274,0.16843078927562838,0.04222038107968747,0.6975142571067868,0.2802635206709916,1630282758.65,10.0,2026-07-14,,,,True,False,False,True,False,True,True
8,600329,达仁堂,中成药,-,80.09077020816753,0.8009077020816753,0.5008053128141644,0.05827314741803454,0.3591950198874029,-0.5444670933649266,0.712745097444393,-0.4205228385270465,25,0.03991446899501083,0.07713498622589543,0.02013808975834297,0.72,0.68,1.0347953283356253,68.62631591004126,0.610434130781061,0.8009077020816753,0.023921605868596436,1.0,1.3919771862332975,0.04042268315081454,0.05805696591608256,0.05830198817839882,0.015991746195511913,0.049194394344392434,0.014421838784445029,0.972483481324217,0.014205446389735865,0.009056952249639495,-0.05038817452201649,0.0005444520205432668,1.4729835020143855,1.3941504525753012,1.2619557778100847,0.004409891741907942,0.136810671055445,1,70666800.0,100854500.0,79180600.0,31322800.0,-13433300.0,-14467399.999999993,-4779799.999999996,-22391699.999999993,0.13506566185649058,0.06789310863523437,0.035327854776222405,0.004409891741907942,-0.025675105642491168,-0.009739146591073174,-0.002132594098294124,-0.0031524950808127,0.004409891741907942,-0.0031524950808127,-0.23009574942368957,2.7844,2.7844,0.0,0.02071596272701271,0.024947192173400908,0.011466270750624952,0.5,-0.07140988752288768,0.02550539700688997,0.034068506225062564,-0.02893064069415901,0.09781401215805874,0.04204378900676199,0.752649359296718,0.13196602531866639,177554406.85,39.39,2026-07-14,,,,True,False,False,True,False,True,True
9,301345,涛涛车业,摩托车,-,79.17927292456703,0.7917927292456702,1.1554867726569114,0.2686343308461886,0.8716939912774802,0.7877426821172978,0.7994927832762371,-0.03656036742385688,5,-0.055384615384615477,0.029337803855825628,0.08798040693293152,0.4,0.6,0.2987588745768594,55.37765974238347,0.511077532262949,0.7917927292456702,0.015467657435369108,1.0,1.3357655745237205,0.05542102617992417,0.06969205834683967,0.06944444444444442,0.08798040693293152,0.09715783874154571,0.0010834236186347823,0.8761329305135949,0.06688388175393278,0.05364009423208458,-0.08496199386912462,0.006913419272781078,1.3840614601609624,1.4369831841454743,1.2954802101050027,0.008683771882442072,0.29277505491307926,1,66429100.0,60616900.0,164367400.0,170657800.0,16716700.0,-100513600.00000001,-16580200.000000015,76047899.99999994,0.07088457097393817,0.019149497683809514,0.023566037283273653,0.008683771882442072,0.01783790699557923,-0.03175327260865132,-0.0023771721847771162,0.003869630428487687,0.008683771882442072,0.003869630428487687,0.694818558178379,6.4337,6.4337,0.0,0.02385115200152273,0.02659966017089418,0.010084752125618969,0.6,-0.05851448402178616,0.028655529492946856,0.042411500273116215,-0.0341579178050146,0.05259522338075073,0.2086368500712884,0.6910324955140186,0.29217918331809856,293392450.22599995,257.0,2026-07-14,,,,True,False,False,True,False,True,True
10,600535,天士力,中成药,-,79.00826839022632,0.7900826839022632,0.31569443473691766,0.2827457108627209,0.3051508430971747,0.22925055058959187,0.48993460883482237,-0.467882289770835,25,0.03991446899501083,0.07713498622589543,0.02013808975834297,0.72,0.68,1.0347953283356253,68.62631591004126,0.610434130781061,0.7900826839022632,0.0060118287926597125,1.0,1.3254238828352713,0.03917378917378933,0.03991446899501083,0.10279667422524552,0.004129387474191448,0.04786871117175995,-0.00068493150684934,0.9548022598870056,0.02201314324702852,0.018192264875929308,-0.02417427833286634,0.0016637636753570866,1.7527912077355283,1.4892667742380779,1.168540924930783,0.010040538623461137,0.2184477559347467,1,29942000.0,42906900.0,62259400.0,67859900.0,-11497200.000000007,-24788400.000000007,-30713800.000000007,-61736500.0,0.050549635700583136,0.028418252048566864,0.03153172156704949,0.010040538623461137,-0.01941016871206816,-0.016417942081126697,-0.01555522523291334,-0.009134521458583176,0.010040538623461137,-0.009134521458583176,0.7022843444636926,2.7403,2.7403,0.0,0.016203772711533903,0.02030856556067562,0.011578747077079265,0.5,-0.06896551724137934,0.022368423794921783,0.03276177925700192,-0.026525765979753837,0.07432603127993853,0.012071291018499979,0.6798918244227172,0.32010817557728277,168957251.55,14.59,2026-07-14,,,,True,False,False,True,False,True,True
